RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:9
8,Baden-Württemberg,73776,5286,7,38372,20848,2909,11326,0
9,Bayern,135986,15850,10,31681,68550,2310,44715,0
11,Berlin,33798,1784,9,22634,10632,105,20422,0
12,Brandenburg,15091,1028,6,2426,12430,118,1162,0
4,Bremen,6999,682,10,1073,2993,44,2733,0
2,Hamburg,14273,1578,8,4944,6649,692,3675,0
6,Hessen,57475,3114,9,15315,33237,2915,22059,0
13,Mecklenburg-Vorpommern,26926,1553,17,1596,13895,342,12311,0
3,Niedersachsen,54168,7607,7,11768,27608,9632,29107,0
5,Nordrhein-Westfalen,124637,3783,7,0,57067,0,67578,0
7,Rheinland-Pfalz,36466,5947,9,7095,19277,9,10085,0
10,Saarland,10130,973,10,7656,1435,0,3535,0
14,Sachsen,23701,3945,6,1805,19173,1,4527,0
15,Sachsen-Anhalt,24413,2499,11,7572,11977,1075,11655,0
1,Schleswig-Holstein,38426,3987,13,11324,15015,5175,16080,0
16,Thüringen,12517,1242,6,1074,9827,45,1249,0
0,Gesamt,688782,60858,8,166335,330613,25372,262219,0
