Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
Baden-Württemberg,8242,3509,3243,2994,517,933
Bayern,12935,7716,3010,5573,214,5314
Berlin,6296,2457,4918,1396,105,4899
Brandenburg,1553,1442,110,1430,13,123
Bremen,1059,467,528,201,3,579
Hamburg,1499,428,704,661,0,839
Hessen,9448,5094,3041,5092,500,3825
Mecklenburg-Vorpommern,7338,3711,87,4011,4,3231
Niedersachsen,1527,692,83,824,145,794
Nordrhein-Westfalen,11385,3857,0,2771,0,8622
Rheinland-Pfalz,2284,822,0,1011,0,1273
Saarland,1518,656,1177,101,0,711
Sachsen,1487,812,150,1294,1,192
Sachsen-Anhalt,7287,3302,2620,3209,262,3942
Schleswig-Holstein,3579,1893,1016,1858,871,1698
Thüringen,672,415,226,252,0,327
Gesamt,78109,37273,20913,32678,2635,37302
