Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
Baden-Württemberg*,2084,0,624,964,151,0
Bayern,3389,0,994,1051,68,1620
Berlin,1626,0,1416,228,105,1398
Brandenburg,100,0,80,20,0,12
Bremen*,420,0,205,87,0,0
Hamburg,445,0,197,222,0,223
Hessen,3112,0,1086,1694,154,1347
Mecklenburg-Vorpommern*,590,0,0,240,0,350
Niedersachsen,334,0,42,116,140,306
Nordrhein-Westfalen*,5405,0,0,1370,0,3985
Rheinland-Pfalz*,1252,0,0,620,0,632
Saarland,215,0,168,4,0,211
Sachsen,182,0,90,69,0,113
Sachsen-Anhalt**,1504,1357,669,644,0,847
Schleswig-Holstein,809,0,213,239,344,553
Thüringen,99,0,49,50,0,49
Gesamt,21566,1357,5833,7618,962,11646
