RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:9
8,Baden-Württemberg,76762,5869,7,41457,22519,2980,12781,0
9,Bayern,150511,14525,11,35434,76344,2606,48443,0
11,Berlin,35893,2095,10,24446,11010,105,21428,0
12,Brandenburg,19590,4499,8,3920,15352,193,2009,0
4,Bremen,7753,753,11,1104,3346,60,3115,0
2,Hamburg,15980,1707,9,5578,6866,1503,3891,0
6,Hessen,60344,2869,10,15955,34864,3172,23182,0
13,Mecklenburg-Vorpommern,29100,2059,18,2076,14928,376,13031,0
3,Niedersachsen,63200,7749,8,13316,32710,10409,33078,0
5,Nordrhein-Westfalen,129472,3994,7,0,59599,0,69881,0
7,Rheinland-Pfalz,45326,8012,11,10246,22730,9,12341,0
10,Saarland,11199,1069,11,8358,1791,0,3790,0
14,Sachsen,29421,5720,7,2210,23650,1,5770,0
15,Sachsen-Anhalt,27320,2907,12,8533,13373,1178,12736,0
1,Schleswig-Holstein,43162,4611,15,13202,17149,5452,18056,0
16,Thüringen,13060,740,6,1149,9798,81,1491,0
0,Gesamt,758093,69178,9,186984,366029,28125,285023,0
