RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6559279,5533,590.905,-1,-1,-1,-1,4570445,530586,5529651,19055
9,Bayern,7703072,5845,586.912,-1,-1,-1,-1,5435193,633624,6162880,14342
11,Berlin,2202974,2940,600.349,-1,-1,-1,-1,1525957,253162,1787286,7339
12,Brandenburg,1393801,40,552.680,-1,-1,-1,-1,949590,122733,1178123,669
4,Bremen,475471,61,697.988,-1,-1,-1,-1,323296,27482,387621,1600
2,Hamburg,1151689,2043,623.460,-1,-1,-1,-1,794540,115282,855978,932
6,Hessen,3804517,5025,605.036,-1,-1,-1,-1,2606806,319636,3070014,8600
13,Mecklenburg-Vorpommern,950918,24,591.316,-1,-1,-1,-1,689938,76150,797459,48
3,Niedersachsen,5101094,701,638.147,-1,-1,-1,-1,3227827,451455,3895637,8804
5,Nordrhein-Westfalen,11522493,7685,642.021,-1,-1,-1,-1,7938501,745255,9249100,7390
7,Rheinland-Pfalz,2544065,610,621.428,-1,-1,-1,-1,1801531,193974,2033217,1073
10,Saarland,656425,100,665.147,-1,-1,-1,-1,492291,53691,524881,136
14,Sachsen,2100276,1442,515.789,-1,-1,-1,-1,1531083,190719,1856374,6114
15,Sachsen-Anhalt,1243128,175,566.402,-1,-1,-1,-1,871874,110583,1052217,614
1,Schleswig-Holstein,1878340,2718,646.862,-1,-1,-1,-1,1275875,153544,1501837,6216
16,Thüringen,1174064,224,550.331,-1,-1,-1,-1,836700,123810,1034982,5772
0,Gesamt,50643772,35166,608.943,-1,-1,-1,-1,34949144,4182825,41073682,88705
