RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4825094,36613,434.678,-1,-1,-1,-1,3291260,417401,2228203,60700
9,Bayern,5708214,32861,434.920,-1,-1,-1,-1,4037164,398571,2709707,81610
11,Berlin,1614394,25876,439.950,-1,-1,-1,-1,1105308,166694,746439,31277
12,Brandenburg,1028853,15166,407.969,-1,-1,-1,-1,706663,82761,532144,12806
4,Bremen,321370,4445,471.769,-1,-1,-1,-1,209381,19960,164154,3756
2,Hamburg,776942,5603,420.593,-1,-1,-1,-1,524355,79843,368430,7862
6,Hessen,2798109,15009,444.986,-1,-1,-1,-1,1893827,225349,1144059,26009
13,Mecklenburg-Vorpommern,739894,7828,460.094,-1,-1,-1,-1,537752,61538,354344,15734
3,Niedersachsen,3572492,27078,446.919,-1,-1,-1,-1,2314250,219201,1544565,62385
5,Nordrhein-Westfalen,8464490,48444,471.632,-1,-1,-1,-1,5718375,641491,3742289,103850
7,Rheinland-Pfalz,1762462,16753,430.509,-1,-1,-1,-1,1215398,143562,879718,17034
10,Saarland,472265,2766,478.540,-1,-1,-1,-1,360307,34833,241987,6764
14,Sachsen,1614989,13171,396.611,-1,-1,-1,-1,1126414,158332,956652,19984
15,Sachsen-Anhalt,939247,10601,427.945,-1,-1,-1,-1,670871,79028,453490,14954
1,Schleswig-Holstein,1326793,18971,456.920,-1,-1,-1,-1,922595,91901,656896,14819
16,Thüringen,918756,8561,430.658,-1,-1,-1,-1,651049,108087,465603,8882
0,Gesamt,36999375,290256,444.882,-1,-1,-1,-1,25310441,2999794,17240975,489945
