RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,154818,11179,13.947,78992,48636,4659,30365,153922,896,18954,3187
9,Bayern,244058,6990,18.595,60054,129305,4484,71126,235653,8405,46811,11644
11,Berlin,67960,4283,18.520,45776,21650,108,30979,66696,1264,15729,3235
12,Brandenburg,58422,3972,23.166,21558,35392,734,10428,58422,0,1123,0
4,Bremen,14664,827,21.527,1994,6697,116,5752,13406,1258,1771,9
2,Hamburg,34132,1442,18.477,12625,16438,1829,9027,33822,310,2846,646
6,Hessen,89249,4693,14.193,26457,48209,4559,32033,89249,0,18055,2501
13,Mecklenburg-Vorpommern,49922,2212,31.043,7671,22469,1016,19490,48961,961,3626,54
3,Niedersachsen,127121,8161,15.903,53751,24741,24714,67709,125217,1904,4059,462
5,Nordrhein-Westfalen,267193,20068,14.888,0,133602,0,133599,267193,0,26122,3130
7,Rheinland-Pfalz,117050,6209,28.591,44934,46769,54,25293,114744,3665,4080,249
10,Saarland,17112,339,17.339,11904,3666,1,5506,16832,280,3241,557
14,Sachsen,67357,2629,16.542,5995,48854,1,16873,67258,99,3795,452
15,Sachsen-Anhalt,41742,1516,19.019,13584,20411,1886,16728,41442,300,10117,1109
1,Schleswig-Holstein,81267,2911,27.987,22430,25145,5464,18486,80958,309,1525,198
16,Thüringen,37286,1870,17.477,11413,21057,1299,4569,37286,0,1570,2
0,Gesamt,1469353,79301,17.668,419138,653041,50924,497963,1451061,19651,163424,27435
