RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7247008,10346,652.860,-1,-1,-1,-1,5110672,551657,6960526,11768,118030
9,Bayern,8490401,10605,646.901,-1,-1,-1,-1,6064244,669103,8129829,14060,79271
11,Berlin,2467802,3123,672.519,-1,-1,-1,-1,1732916,286004,2347700,4743,48796
12,Brandenburg,1552484,2009,615.603,-1,-1,-1,-1,1071835,131901,1472756,2996,11170
4,Bremen,536291,821,787.272,-1,-1,-1,-1,363167,34879,509607,931,9652
2,Hamburg,1324751,2204,717.146,-1,-1,-1,-1,935256,118456,1260646,2843,7592
6,Hessen,4257730,4860,677.111,-1,-1,-1,-1,2973263,343316,3995470,7106,57654
13,Mecklenburg-Vorpommern,1055904,1167,656.600,-1,-1,-1,-1,770656,82430,1007953,1828,8946
3,Niedersachsen,5647909,6249,706.553,-1,-1,-1,-1,3644311,470834,5320769,8102,25976
5,Nordrhein-Westfalen,12995685,15459,724.106,-1,-1,-1,-1,9181913,791869,12124107,27738,171361
7,Rheinland-Pfalz,2854039,3768,697.144,-1,-1,-1,-1,2051148,213984,2638222,4979,39228
10,Saarland,729111,993,738.799,-1,-1,-1,-1,546764,57323,696696,1447,6658
14,Sachsen,2338926,2741,574.397,-1,-1,-1,-1,1729286,208890,2216246,4108,13283
15,Sachsen-Anhalt,1379612,1586,628.587,-1,-1,-1,-1,971430,118893,1326637,2064,19299
1,Schleswig-Holstein,2114293,1670,728.119,-1,-1,-1,-1,1461976,168470,2019107,3065,42553
16,Thüringen,1282841,1737,605.046,-1,-1,-1,-1,917726,126352,1238047,1845,15273
0,Gesamt,56467517,69359,678.968,-1,-1,-1,-1,39608629,4456974,53448529,99683,674905
