RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7401461,810,666.775,-1,-1,-1,-1,5245658,553592,6780995,472
9,Bayern,8729510,1220,665.119,-1,-1,-1,-1,6269115,674502,8038761,1566
11,Berlin,2536353,477,691.200,-1,-1,-1,-1,1783127,296736,2336136,756
12,Brandenburg,1591718,35,631.160,-1,-1,-1,-1,1105919,132073,1429342,71
4,Bremen,551541,8,809.659,-1,-1,-1,-1,374848,35345,487968,15
2,Hamburg,1373683,327,743.636,-1,-1,-1,-1,973987,118903,1241391,275
6,Hessen,4352512,379,692.185,-1,-1,-1,-1,3054928,345987,3913121,341
13,Mecklenburg-Vorpommern,1081985,0,672.819,-1,-1,-1,-1,792591,82756,987926,0
3,Niedersachsen,5750705,259,719.413,-1,-1,-1,-1,3737069,471205,5070229,413
5,Nordrhein-Westfalen,13237903,158,737.602,-1,-1,-1,-1,9396610,793687,11819375,310
7,Rheinland-Pfalz,2909580,11,710.711,-1,-1,-1,-1,2099466,214219,2575910,17
10,Saarland,745014,25,754.913,-1,-1,-1,-1,560151,57396,676047,10
14,Sachsen,2392024,12,587.436,-1,-1,-1,-1,1777003,211068,2204278,20
15,Sachsen-Anhalt,1408831,10,641.900,-1,-1,-1,-1,996617,119486,1272117,3
1,Schleswig-Holstein,2152863,5,741.402,-1,-1,-1,-1,1495591,168839,1950969,12
16,Thüringen,1317776,9,617.695,-1,-1,-1,-1,945616,126691,1210240,50
0,Gesamt,57727042,3745,694.112,-1,-1,-1,-1,40691102,4485210,52172269,4331
