RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,917558,14410,82.660,423804,398865,52721,92618,618748,38986,410263,8633
9,Bayern,1182269,16722,90.079,535337,514420,83712,132744,840921,53354,542721,14965
11,Berlin,316985,7263,86.384,218963,103659,150,45655,235272,21944,147256,1855
12,Brandenburg,202941,6616,80.472,88191,95341,18237,26236,127926,11096,83360,1285
4,Bremen,63921,1144,93.836,26040,32590,1432,8656,40871,3087,27539,741
2,Hamburg,161839,3333,87.611,66238,85683,4807,15994,107758,6985,74137,1177
6,Hessen,535743,13929,85.200,232870,216681,39141,53016,389202,18570,228181,8091
13,Mecklenburg-Vorpommern,124477,2349,77.404,45998,51287,4029,27521,96779,6592,60264,919
3,Niedersachsen,633992,12084,79.312,292978,270631,56014,100822,446704,25091,285519,11906
5,Nordrhein-Westfalen,1425136,15924,79.407,527513,755428,28318,195535,1017457,30701,627542,11499
7,Rheinland-Pfalz,367441,9714,89.753,129056,190846,10580,36959,237112,7008,149136,4384
10,Saarland,96259,3138,97.538,51376,34727,4277,12340,65718,4251,34797,669
14,Sachsen,321033,1558,78.840,126616,123949,21247,33995,265487,15188,159101,5484
15,Sachsen-Anhalt,173177,6518,78.904,72199,77691,10036,33672,118402,9277,73774,1652
1,Schleswig-Holstein,258500,5083,89.022,120721,104559,13226,57244,181650,11023,99757,191
16,Thüringen,189590,2751,88.868,92356,74933,17434,26591,130525,8314,93747,2434
0,Gesamt,6970861,122536,83.818,3050256,3131290,365361,899598,4920532,271467,3097094,75885
