RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6863561,5830,618.317,-1,-1,-1,-1,4800857,543830,6503092,8064
9,Bayern,8054006,4209,613.651,-1,-1,-1,-1,5715099,651483,7541726,8227
11,Berlin,2345125,1985,639.087,-1,-1,-1,-1,1637498,270800,2142679,5106
12,Brandenburg,1467624,88,581.953,-1,-1,-1,-1,1004785,129454,1359056,128
4,Bremen,501409,654,736.065,-1,-1,-1,-1,337969,32441,470890,404
2,Hamburg,1239545,495,671.021,-1,-1,-1,-1,867785,117376,1111061,7436
6,Hessen,4007845,3312,637.372,-1,-1,-1,-1,2766054,334995,3603025,5507
13,Mecklenburg-Vorpommern,1002070,17,623.124,-1,-1,-1,-1,728245,80493,937539,17
3,Niedersachsen,5330389,591,666.831,-1,-1,-1,-1,3398348,464330,4794173,1217
5,Nordrhein-Westfalen,12196635,13619,679.583,-1,-1,-1,-1,8500153,778316,11078896,14373
7,Rheinland-Pfalz,2675058,122,653.425,-1,-1,-1,-1,1901857,208445,2412208,206
10,Saarland,693930,11,703.150,-1,-1,-1,-1,518676,56608,630829,226
14,Sachsen,2202976,1144,541.010,-1,-1,-1,-1,1613916,198470,2061719,1272
15,Sachsen-Anhalt,1305112,350,594.643,-1,-1,-1,-1,914077,115941,1226215,87
1,Schleswig-Holstein,2006497,3021,690.997,-1,-1,-1,-1,1371795,165834,1828988,4073
16,Thüringen,1224203,219,573.833,-1,-1,-1,-1,874549,124016,1160767,268
0,Gesamt,53302445,35667,640.911,-1,-1,-1,-1,37031508,4354735,49037947,56611
