RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,5631855,29981,507.356,-1,-1,-1,-1,3800665,483183,3431274,50938
9,Bayern,6317516,37896,481.344,-1,-1,-1,-1,4347874,469187,4087654,62978
11,Berlin,1898578,10960,517.395,-1,-1,-1,-1,1274376,207298,1101084,19029
12,Brandenburg,1259622,5768,499.475,-1,-1,-1,-1,844453,112609,733468,11436
4,Bremen,394470,2912,579.079,-1,-1,-1,-1,258835,22963,217628,2791
2,Hamburg,896349,4221,485.233,-1,-1,-1,-1,595298,82044,561530,10547
6,Hessen,3182061,13747,506.047,-1,-1,-1,-1,2137250,238868,1864258,28607
13,Mecklenburg-Vorpommern,842135,4215,523.671,-1,-1,-1,-1,598492,69938,544046,8582
3,Niedersachsen,4163065,22750,520.799,-1,-1,-1,-1,2570219,283204,2478690,44181
5,Nordrhein-Westfalen,9589714,39008,534.329,-1,-1,-1,-1,6284987,662622,6044168,87790
7,Rheinland-Pfalz,2104049,15303,513.947,-1,-1,-1,-1,1428136,179827,1234361,15905
10,Saarland,537323,2573,544.463,-1,-1,-1,-1,400250,36554,374237,6601
14,Sachsen,1850975,7969,454.565,-1,-1,-1,-1,1287645,165846,1279366,17541
15,Sachsen-Anhalt,1072921,6321,488.851,-1,-1,-1,-1,735594,97451,675217,12388
1,Schleswig-Holstein,1593753,8760,548.856,-1,-1,-1,-1,1071906,118854,936808,12415
16,Thüringen,1051853,5518,493.046,-1,-1,-1,-1,735140,121091,634084,6318
0,Gesamt,42540863,219325,511.513,-1,-1,-1,-1,28427415,3427740,26274154,398920
