RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,934964,16219,84.228,433522,403529,54283,93432,634076,39966,419918,9640
9,Bayern,1199314,17045,91.378,546448,518593,85817,133362,854214,56073,557192,14471
11,Berlin,322960,5975,88.012,224345,104405,150,45950,239186,24005,150546,3290
12,Brandenburg,211054,7944,83.689,94106,96228,19459,25966,135182,11953,84325,1039
4,Bremen,65167,1253,95.665,26620,33218,1457,8656,42038,3166,28222,684
2,Hamburg,164775,2918,89.200,67106,87570,4992,16004,110688,6987,75606,1402
6,Hessen,535775,6865,85.205,232737,216725,39227,53088,395464,19078,236290,8109
13,Mecklenburg-Vorpommern,126935,2289,78.933,47854,51621,4216,27604,99051,6591,61419,1159
3,Niedersachsen,650096,13477,81.327,305007,273979,56706,101197,459928,26150,296734,11046
5,Nordrhein-Westfalen,1440274,10940,80.251,538171,758758,28852,196627,1029098,31380,635816,6770
7,Rheinland-Pfalz,377584,8784,92.231,133887,194854,11691,37152,245260,7945,152712,3562
10,Saarland,99956,3033,101.284,53115,36035,4656,12606,68460,4557,35447,650
14,Sachsen,322049,1016,79.089,127219,124280,21343,33995,266034,15657,165103,6002
15,Sachsen-Anhalt,179298,6121,81.693,76493,78322,10833,33917,123589,10195,76114,2340
1,Schleswig-Holstein,266030,6397,91.615,126527,105608,13579,58976,188308,11884,100219,201
16,Thüringen,192781,2820,90.364,94673,75395,17767,26830,133623,8315,96870,2443
0,Gesamt,7095076,113096,85.311,3127830,3165184,375028,905362,5024199,283932,3172553,72808
