RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,5043780,46226,454.378,-1,-1,-1,-1,3367902,436957,2450018,93977
9,Bayern,5887137,39595,448.553,-1,-1,-1,-1,4085133,402491,2988266,112924
11,Berlin,1703976,20437,464.363,-1,-1,-1,-1,1141865,179019,800831,25355
12,Brandenburg,1101293,20690,436.693,-1,-1,-1,-1,733946,92163,563361,17943
4,Bremen,343575,3558,504.366,-1,-1,-1,-1,215276,20879,175113,5042
2,Hamburg,809087,6805,437.995,-1,-1,-1,-1,532005,80647,408494,13583
6,Hessen,2900838,26101,461.323,-1,-1,-1,-1,1935174,229207,1263355,51687
13,Mecklenburg-Vorpommern,768833,7145,478.089,-1,-1,-1,-1,547819,62537,387517,16047
3,Niedersachsen,3771792,34591,471.851,-1,-1,-1,-1,2350736,228106,1717612,73396
5,Nordrhein-Westfalen,8805580,66669,490.638,-1,-1,-1,-1,5792321,646948,4193619,151554
7,Rheinland-Pfalz,1851385,26976,452.230,-1,-1,-1,-1,1248976,157017,941483,31718
10,Saarland,490009,5565,496.520,-1,-1,-1,-1,366481,35906,265556,10204
14,Sachsen,1687997,18812,414.541,-1,-1,-1,-1,1156595,160264,1012261,21149
15,Sachsen-Anhalt,987279,10256,449.830,-1,-1,-1,-1,683933,81649,495627,21606
1,Schleswig-Holstein,1405772,22948,484.119,-1,-1,-1,-1,952378,97644,702581,23464
16,Thüringen,955588,10055,447.922,-1,-1,-1,-1,664981,111974,502460,14472
0,Gesamt,38637929,369160,464.584,-1,-1,-1,-1,25805032,3095971,18925419,686432
