RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,259979,6024,23.421,149857,87919,8785,50207,253592,6387,89261,6803
9,Bayern,359964,9383,27.426,130068,183541,7895,93476,348559,11405,173079,12450
11,Berlin,108465,2444,29.559,80459,25295,148,33896,105228,3237,41553,2212
12,Brandenburg,77381,520,30.684,34426,39708,1167,17536,75401,1980,24083,3250
4,Bremen,20778,394,30.502,9244,8320,173,7031,19521,1257,8208,820
2,Hamburg,52070,1028,28.188,20214,25953,1855,12403,51036,1034,17748,1580
6,Hessen,147967,4673,23.531,64621,62956,5235,39412,147967,0,57004,3017
13,Mecklenburg-Vorpommern,60083,962,37.362,12264,26152,1256,21117,58352,1731,20459,1157
3,Niedersachsen,170397,5420,21.317,36751,91756,27027,72566,167161,3236,75341,6546
5,Nordrhein-Westfalen,413149,11153,23.020,56626,244259,11394,160500,406845,6304,169878,9676
7,Rheinland-Pfalz,144633,754,35.329,52395,58302,93,33843,140828,3805,43009,6214
10,Saarland,24022,389,24.341,15548,6788,1,5923,22788,1234,12511,929
14,Sachsen,100862,2660,24.770,16314,62981,2040,25219,98666,2196,32255,3887
15,Sachsen-Anhalt,55706,1378,25.381,19328,27699,2329,19091,54378,1328,28078,1779
1,Schleswig-Holstein,95087,1452,32.746,27772,28128,6387,27207,94332,755,23652,2852
16,Thüringen,62457,2884,29.276,25582,29120,2499,7512,61314,1143,18279,1898
0,Gesamt,2153000,51518,25.888,751469,1008877,78284,626939,2105968,47032,834398,65070
