RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7618087,6895,686.290,-1,-1,-1,-1,5430992,559551,7397030,2361,1145141
9,Bayern,9043309,6056,689.028,-1,-1,-1,-1,6544014,683185,8764182,3590,1555819
11,Berlin,2630805,1628,716.940,-1,-1,-1,-1,1862422,302634,2532381,783,510549
12,Brandenburg,1630658,124,646.601,-1,-1,-1,-1,1140487,132700,1569734,27,230349
4,Bremen,563420,0,827.097,-1,-1,-1,-1,384951,35464,544724,0,86614
2,Hamburg,1416359,1054,766.738,-1,-1,-1,-1,1005337,119800,1376146,263,183266
6,Hessen,4473986,2358,711.503,-1,-1,-1,-1,3162126,350939,4250058,850,603563
13,Mecklenburg-Vorpommern,1115755,145,693.818,-1,-1,-1,-1,822698,83492,1076827,40,161837
3,Niedersachsen,5872637,827,734.667,-1,-1,-1,-1,3850544,472246,5623993,420,846099
5,Nordrhein-Westfalen,13466133,2219,750.319,-1,-1,-1,-1,9610066,794976,12846435,1116,2124629
7,Rheinland-Pfalz,2965358,802,724.335,-1,-1,-1,-1,2149119,214941,2791699,353,430775
10,Saarland,762564,23,772.696,-1,-1,-1,-1,575169,57651,736627,10,123148
14,Sachsen,2453570,629,602.551,-1,-1,-1,-1,1834053,213465,2356152,194,350947
15,Sachsen-Anhalt,1456637,63,663.682,-1,-1,-1,-1,1037969,122432,1415487,54,215454
1,Schleswig-Holstein,2191436,227,754.686,-1,-1,-1,-1,1531116,169745,2116003,93,336523
16,Thüringen,1366499,174,644.503,-1,-1,-1,-1,983333,128432,1327119,54,250938
0,Gesamt,59221785,23224,712.085,-1,-1,-1,-1,42008044,4524469,56911547,10208,9167000
