RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,638174,24138,57.491,336271,252644,21984,83084,493551,31631,309638,9124
9,Bayern,845879,28038,64.449,365662,384295,43060,123126,676412,31291,423628,14681
11,Berlin,214746,7017,58.522,147529,68542,150,43062,175775,9533,127400,1707
12,Brandenburg,129121,5741,51.200,49428,70245,6673,22907,91590,4227,77359,506
4,Bremen,45460,1887,66.735,19475,21585,955,8186,32744,2544,22508,267
2,Hamburg,115478,3685,62.513,48712,59602,2084,15882,86695,2519,59423,1151
6,Hessen,350086,15255,55.675,175491,141649,10278,50219,297602,12196,163582,5708
13,Mecklenburg-Vorpommern,92901,2365,57.769,31259,38085,1934,24505,80082,5175,53623,681
3,Niedersachsen,452139,19937,56.563,217196,175952,43898,95175,372559,14512,194235,6581
5,Nordrhein-Westfalen,1026612,29320,57.202,349251,544368,19593,186610,823355,23004,476472,10997
7,Rheinland-Pfalz,262520,10943,64.125,95066,126984,4431,36039,193323,4543,141626,596
10,Saarland,66544,3384,67.428,37519,24556,825,10223,49105,2136,25982,743
14,Sachsen,249966,5660,61.387,102288,100224,10371,33986,221884,12161,109036,2577
15,Sachsen-Anhalt,119428,3926,54.415,46388,56675,5287,30574,90821,6881,59689,1000
1,Schleswig-Holstein,175328,7023,60.379,75484,73228,9717,51426,137758,5440,95928,1002
16,Thüringen,131486,1972,61.633,67140,54547,6294,23104,107820,8320,70101,2726
0,Gesamt,4915868,170291,59.109,2164159,2193181,187534,838108,3931076,176113,2410230,60047
