RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7945361,8098,715.773,-1,-1,-1,-1,5682354,610213,7703214,9399,4234792
9,Bayern,9424656,11335,718.083,-1,-1,-1,-1,6852949,735999,9171115,15326,4851716
11,Berlin,2748718,4648,749.073,-1,-1,-1,-1,1954320,320086,2622021,5152,1375752
12,Brandenburg,1702757,1072,675.190,-1,-1,-1,-1,1193574,146439,1628439,1733,798033
4,Bremen,591404,600,868.177,-1,-1,-1,-1,402945,42600,563673,625,260103
2,Hamburg,1466164,1554,793.700,-1,-1,-1,-1,1042501,124090,1422989,1603,585604
6,Hessen,4644943,4329,738.690,-1,-1,-1,-1,3287204,388459,4394468,3864,2112485
13,Mecklenburg-Vorpommern,1160255,893,721.490,-1,-1,-1,-1,854945,93973,1117488,1594,544906
3,Niedersachsen,6063539,4095,758.548,-1,-1,-1,-1,4001849,500089,5812533,4490,3241764
5,Nordrhein-Westfalen,13950726,8103,777.320,-1,-1,-1,-1,9988573,866568,13276363,9146,7185655
7,Rheinland-Pfalz,3072086,1657,750.405,-1,-1,-1,-1,2233041,231731,2879047,2876,1572597
10,Saarland,788134,666,798.606,-1,-1,-1,-1,593433,62777,759232,782,434577
14,Sachsen,2560122,2593,628.718,-1,-1,-1,-1,1921136,230562,2444447,3578,1193102
15,Sachsen-Anhalt,1518007,986,691.644,-1,-1,-1,-1,1080847,137771,1477152,2201,707593
1,Schleswig-Holstein,2263388,1771,779.465,-1,-1,-1,-1,1586979,184112,2192335,830,1136873
16,Thüringen,1438585,1609,678.502,-1,-1,-1,-1,1038386,137690,1381882,1929,684468
0,Gesamt,61537455,54009,739.929,-1,-1,-1,-1,43802375,4896248,59035690,65131,31008690
