RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8223668,327,740.845,-1,-1,-1,-1,5912518,642198,8252188,702,6375094
9,Bayern,9735708,250,741.783,-1,-1,-1,-1,7124789,764009,9843877,894,7437974
11,Berlin,2852863,348,777.455,-1,-1,-1,-1,2040207,330290,2831481,385,2211823
12,Brandenburg,1758615,87,697.339,-1,-1,-1,-1,1239648,153481,1750493,211,1324114
4,Bremen,615197,26,903.105,-1,-1,-1,-1,421358,45881,608019,58,445137
2,Hamburg,1546520,1954,837.200,-1,-1,-1,-1,1112008,130079,1545273,1631,1129249
6,Hessen,4837315,149,769.283,-1,-1,-1,-1,3453069,407794,4705059,318,3592920
13,Mecklenburg-Vorpommern,1199042,76,745.609,-1,-1,-1,-1,885868,99519,1201582,142,926211
3,Niedersachsen,6287093,137,786.515,-1,-1,-1,-1,4198330,517447,6228301,442,5116008
5,Nordrhein-Westfalen,14437219,1435,804.426,-1,-1,-1,-1,10408580,910899,14177118,2124,11106037
7,Rheinland-Pfalz,3182736,71,777.433,-1,-1,-1,-1,2324907,242756,3086246,207,2433623
10,Saarland,812086,22,822.876,-1,-1,-1,-1,612602,65855,810734,75,654069
14,Sachsen,2655448,81,652.128,-1,-1,-1,-1,2000343,242120,2623723,276,1971223
15,Sachsen-Anhalt,1571182,38,715.872,-1,-1,-1,-1,1122799,146785,1600287,197,1196758
1,Schleswig-Holstein,2344284,2,807.323,-1,-1,-1,-1,1658024,191507,2353643,9,2107483
16,Thüringen,1490018,54,702.760,-1,-1,-1,-1,1081907,141256,1492786,137,1105552
0,Gesamt,63751080,5057,766.546,-1,-1,-1,-1,45687270,5115216,63305890,7809,49276044
