RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8151352,2961,734.330,-1,-1,-1,-1,5857439,634608,8065458,6961,5952849
9,Bayern,9653784,4083,735.541,-1,-1,-1,-1,7055611,759272,9619246,9945,6833012
11,Berlin,2822690,906,769.232,-1,-1,-1,-1,2015479,328627,2765707,2161,2016674
12,Brandenburg,1743257,524,691.249,-1,-1,-1,-1,1227357,152360,1709286,1478,1195313
4,Bremen,608307,292,892.991,-1,-1,-1,-1,415878,45211,592441,615,409545
2,Hamburg,1506085,377,815.311,-1,-1,-1,-1,1077825,127251,1477913,1618,971534
6,Hessen,4788652,2160,761.544,-1,-1,-1,-1,3411431,405256,4585374,4326,3253208
13,Mecklenburg-Vorpommern,1187680,660,738.544,-1,-1,-1,-1,877442,98489,1172901,1686,839606
3,Niedersachsen,6220991,2479,778.246,-1,-1,-1,-1,4144026,513105,6064123,5384,4666248
5,Nordrhein-Westfalen,14300357,5126,796.801,-1,-1,-1,-1,10295491,900910,13857043,11804,10100882
7,Rheinland-Pfalz,3150132,1249,769.469,-1,-1,-1,-1,2300898,240635,3008361,3124,2231353
10,Saarland,806098,294,816.809,-1,-1,-1,-1,608040,65481,792580,892,606551
14,Sachsen,2629518,1422,645.760,-1,-1,-1,-1,1979750,240636,2556013,3463,1768532
15,Sachsen-Anhalt,1555340,994,708.654,-1,-1,-1,-1,1109934,145504,1555974,1993,1063944
1,Schleswig-Holstein,2323544,2474,800.181,-1,-1,-1,-1,1640783,190210,2292835,2544,1801045
16,Thüringen,1474549,863,695.464,-1,-1,-1,-1,1069932,140701,1454108,2059,1006307
0,Gesamt,63123698,26890,759.002,-1,-1,-1,-1,45177006,5071529,61763145,60182,44852424
