RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6751690,11685,608.239,-1,-1,-1,-1,4718019,539008,6311495,33997
9,Bayern,7944206,13915,605.285,-1,-1,-1,-1,5631111,644990,7227044,66776
11,Berlin,2298517,6448,626.386,-1,-1,-1,-1,1601005,265060,2039346,15298
12,Brandenburg,1442238,4400,571.887,-1,-1,-1,-1,986036,127065,1319448,9535
4,Bremen,491390,1031,721.357,-1,-1,-1,-1,331734,30757,458245,2839
2,Hamburg,1216739,3617,658.675,-1,-1,-1,-1,851610,116729,1026726,15009
6,Hessen,3942020,6518,626.904,-1,-1,-1,-1,2712838,332324,3464281,22097
13,Mecklenburg-Vorpommern,985009,3411,612.515,-1,-1,-1,-1,715609,78973,906029,8383
3,Niedersachsen,5256363,8093,657.571,-1,-1,-1,-1,3343846,460372,4550932,37464
5,Nordrhein-Westfalen,11920227,25262,664.182,-1,-1,-1,-1,8262676,769947,10548381,86195
7,Rheinland-Pfalz,2636062,4890,643.899,-1,-1,-1,-1,1871385,205860,2338838,15473
10,Saarland,682006,648,691.068,-1,-1,-1,-1,510451,55816,600835,2799
14,Sachsen,2169355,5413,532.753,-1,-1,-1,-1,1586529,196047,2015743,8586
15,Sachsen-Anhalt,1282779,2965,584.468,-1,-1,-1,-1,899000,114051,1185324,6373
1,Schleswig-Holstein,1960761,5887,675.246,-1,-1,-1,-1,1338005,161385,1747191,13885
16,Thüringen,1205093,2388,564.876,-1,-1,-1,-1,861033,124002,1135697,4603
0,Gesamt,52370395,106710,629.704,-1,-1,-1,-1,36300281,4304220,47048937,349953
