RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8209585,623,739.576,-1,-1,-1,-1,5902596,640348,8226027,1520,6309540
9,Bayern,9723112,950,740.823,-1,-1,-1,-1,7114563,763283,9814487,1764,7344689
11,Berlin,2844544,246,775.188,-1,-1,-1,-1,2032967,330061,2820100,655,2173569
12,Brandenburg,1756415,166,696.467,-1,-1,-1,-1,1238019,153352,1745287,410,1304149
4,Bremen,614077,73,901.461,-1,-1,-1,-1,420461,45729,605773,167,437865
2,Hamburg,1539033,87,833.147,-1,-1,-1,-1,1105784,129842,1536276,226,1104318
6,Hessen,4828760,391,767.923,-1,-1,-1,-1,3445827,407348,4689278,876,3537400
13,Mecklenburg-Vorpommern,1197133,110,744.422,-1,-1,-1,-1,884486,99307,1196989,304,910125
3,Niedersachsen,6277820,543,785.355,-1,-1,-1,-1,4191058,516441,6206804,1090,5050041
5,Nordrhein-Westfalen,14412763,942,803.064,-1,-1,-1,-1,10389296,908925,14132894,1987,10949073
7,Rheinland-Pfalz,3178513,254,776.402,-1,-1,-1,-1,2321499,242375,3077800,950,2402848
10,Saarland,811241,42,822.020,-1,-1,-1,-1,611912,65793,808780,173,646532
14,Sachsen,2651477,305,651.153,-1,-1,-1,-1,1997470,241961,2614228,685,1937285
15,Sachsen-Anhalt,1568947,153,714.853,-1,-1,-1,-1,1121082,146622,1594275,546,1176651
1,Schleswig-Holstein,2341899,294,806.502,-1,-1,-1,-1,1656129,191300,2347813,665,2085077
16,Thüringen,1488074,117,701.843,-1,-1,-1,-1,1080507,141212,1487866,330,1090988
0,Gesamt,63645385,5301,765.275,-1,-1,-1,-1,45603885,5107231,63099606,12358,48602034
