RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,292646,7117,26.364,166791,101066,9731,56109,281640,11006,113198,6582
9,Bayern,393856,9280,30.009,145260,198618,9406,97113,381864,11992,202985,6293
11,Berlin,120017,1996,32.707,88790,28654,148,34802,116205,3812,55485,2470
12,Brandenburg,79046,740,31.344,35589,40170,1211,17968,76317,2729,30406,2416
4,Bremen,22435,343,32.934,10423,8656,182,7336,21163,1257,9989,484
2,Hamburg,56040,1169,30.337,22327,27701,1860,12829,54436,1604,24286,1409
6,Hessen,164991,5306,26.239,76791,66831,5411,41080,163767,1224,65486,1879
13,Mecklenburg-Vorpommern,62204,529,38.681,13022,27051,1288,21569,60445,1759,23505,1455
3,Niedersachsen,184007,3920,23.019,42026,97561,28624,76766,179633,4374,89054,2911
5,Nordrhein-Westfalen,460229,3004,25.643,61434,282851,12200,165511,449965,10264,199283,0
7,Rheinland-Pfalz,147008,318,35.909,52473,59504,88,34943,143088,3920,60598,6149
10,Saarland,25671,771,26.012,16598,7120,0,6598,24217,1454,15166,606
14,Sachsen,111700,3066,27.431,20993,66354,2843,27209,108991,2709,45189,3092
15,Sachsen-Anhalt,58214,729,26.524,20283,29099,2390,19498,56668,1546,30512,1014
1,Schleswig-Holstein,98745,914,34.006,28683,29566,6450,29621,97664,1081,36069,3217
16,Thüringen,67993,1562,31.871,28809,30678,2780,8376,65611,2382,23420,1060
0,Gesamt,2344802,40764,28.194,830292,1101480,84612,657328,2281674,63113,1024631,41037
