RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6873380,9436,619.201,-1,-1,-1,-1,4808463,544228,6516870,13010
9,Bayern,8065727,11115,614.544,-1,-1,-1,-1,5724034,652343,7565574,21770
11,Berlin,2348459,2994,639.996,-1,-1,-1,-1,1640388,271022,2151444,6881
12,Brandenburg,1470200,2367,582.975,-1,-1,-1,-1,1006607,129737,1363154,3584
4,Bremen,502819,1367,738.135,-1,-1,-1,-1,338812,32579,472094,1168
2,Hamburg,1242865,2559,672.818,-1,-1,-1,-1,870428,117453,1121183,9193
6,Hessen,4018260,7739,639.028,-1,-1,-1,-1,2775083,335395,3620632,15462
13,Mecklenburg-Vorpommern,1004124,1935,624.402,-1,-1,-1,-1,729809,80565,940147,2529
3,Niedersachsen,5340406,6304,668.085,-1,-1,-1,-1,3405434,464900,4819071,20792
5,Nordrhein-Westfalen,12227390,21920,681.297,-1,-1,-1,-1,8525904,779029,11117007,28600
7,Rheinland-Pfalz,2681589,5219,655.020,-1,-1,-1,-1,1907132,208870,2420673,7478
10,Saarland,695163,1138,704.400,-1,-1,-1,-1,519585,56661,634022,3064
14,Sachsen,2206588,3437,541.897,-1,-1,-1,-1,1616862,198690,2066622,4691
15,Sachsen-Anhalt,1307637,2087,595.794,-1,-1,-1,-1,915658,116412,1230944,4397
1,Schleswig-Holstein,2008241,1075,691.597,-1,-1,-1,-1,1373374,165844,1832579,2372
16,Thüringen,1225711,1515,574.540,-1,-1,-1,-1,875875,124017,1163505,2708
0,Gesamt,53405091,82246,642.145,-1,-1,-1,-1,37113366,4359648,49210918,147828
