RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7411641,5523,667.692,-1,-1,-1,-1,5254555,553790,7222492,6873,299040
9,Bayern,8744663,8535,666.273,-1,-1,-1,-1,6282533,674840,8513063,9929,337585
11,Berlin,2547989,6634,694.371,-1,-1,-1,-1,1791083,297743,2463393,6562,180252
12,Brandenburg,1595036,1251,632.476,-1,-1,-1,-1,1109023,132086,1538095,2091,47556
4,Bremen,552530,411,811.110,-1,-1,-1,-1,375616,35378,533861,829,29666
2,Hamburg,1377457,1134,745.679,-1,-1,-1,-1,977125,118951,1337075,1604,51354
6,Hessen,4362632,3339,693.794,-1,-1,-1,-1,3064249,346139,4158884,5383,171944
13,Mecklenburg-Vorpommern,1084207,1056,674.200,-1,-1,-1,-1,794593,82781,1051643,1160,36666
3,Niedersachsen,5760517,3977,720.640,-1,-1,-1,-1,3746298,471252,5502797,8757,196166
5,Nordrhein-Westfalen,13257960,7373,738.719,-1,-1,-1,-1,9415008,793774,12615627,14082,557609
7,Rheinland-Pfalz,2913881,1653,711.761,-1,-1,-1,-1,2103320,214249,2737473,3148,120164
10,Saarland,745894,365,755.805,-1,-1,-1,-1,560940,57414,722192,736,26699
14,Sachsen,2397571,2463,588.799,-1,-1,-1,-1,1782196,211225,2309557,3956,67771
15,Sachsen-Anhalt,1413556,1078,644.053,-1,-1,-1,-1,1000911,119595,1379440,1776,51768
1,Schleswig-Holstein,2156492,1739,742.652,-1,-1,-1,-1,1499008,168908,2085856,2556,122869
16,Thüringen,1320303,1083,622.715,-1,-1,-1,-1,947957,126703,1290178,1240,64038
0,Gesamt,57835987,47635,695.422,-1,-1,-1,-1,40787276,4487573,55647310,70715,2361925
