RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8211039,151,739.707,-1,-1,-1,-1,5903552,640516,8229264,445,6317199
9,Bayern,9724854,200,740.956,-1,-1,-1,-1,7115950,763340,9818095,339,7355196
11,Berlin,2844915,53,775.289,-1,-1,-1,-1,2033261,330079,2821027,158,2176090
12,Brandenburg,1756701,19,696.580,-1,-1,-1,-1,1238209,153381,1745911,74,1306350
4,Bremen,614189,3,901.625,-1,-1,-1,-1,420539,45754,606066,16,438511
2,Hamburg,1539229,18,833.253,-1,-1,-1,-1,1105968,129845,1536749,78,1105636
6,Hessen,4829371,63,768.020,-1,-1,-1,-1,3446350,407344,4690749,101,3541830
13,Mecklenburg-Vorpommern,1197294,4,744.522,-1,-1,-1,-1,884574,99333,1197470,16,911306
3,Niedersachsen,6278663,57,785.460,-1,-1,-1,-1,4191741,516518,6208767,377,5055518
5,Nordrhein-Westfalen,14414711,107,803.172,-1,-1,-1,-1,10390854,909107,14136876,294,10963960
7,Rheinland-Pfalz,3178766,49,776.463,-1,-1,-1,-1,2321708,242394,3078442,159,2404895
10,Saarland,811325,2,822.105,-1,-1,-1,-1,611977,65803,809037,1,647368
14,Sachsen,2651794,14,651.231,-1,-1,-1,-1,1997693,241970,2614879,9,1939390
15,Sachsen-Anhalt,1569139,4,714.941,-1,-1,-1,-1,1121213,146643,1594783,17,1177937
1,Schleswig-Holstein,2342235,6,806.618,-1,-1,-1,-1,1656369,191334,2348742,10,2087951
16,Thüringen,1488335,2,701.966,-1,-1,-1,-1,1080649,141226,1488714,5,1092264
0,Gesamt,63654559,752,765.385,-1,-1,-1,-1,45610842,5107920,63120514,2099,48663335
