RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8223001,147,740.785,-1,-1,-1,-1,5912108,642064,8251048,192,6372299
9,Bayern,9735184,42,741.743,-1,-1,-1,-1,7124365,763978,9842402,137,7433538
11,Berlin,2852405,24,777.330,-1,-1,-1,-1,2039985,330285,2830592,72,2209769
12,Brandenburg,1758472,0,697.283,-1,-1,-1,-1,1239544,153468,1750168,4,1322641
4,Bremen,615157,0,903.046,-1,-1,-1,-1,421330,45877,607919,0,444745
2,Hamburg,1544132,3,835.907,-1,-1,-1,-1,1110310,130060,1542696,12,1126894
6,Hessen,4836887,28,769.215,-1,-1,-1,-1,3452699,407781,4704251,85,3590368
13,Mecklenburg-Vorpommern,1198932,7,745.540,-1,-1,-1,-1,885767,99514,1201355,18,925291
3,Niedersachsen,6286610,14,786.455,-1,-1,-1,-1,4197940,517396,6227175,47,5112284
5,Nordrhein-Westfalen,14434967,43,804.301,-1,-1,-1,-1,10406958,910790,14173098,85,11096025
7,Rheinland-Pfalz,3182549,15,777.387,-1,-1,-1,-1,2324740,242751,3085750,19,2432021
10,Saarland,812032,0,822.822,-1,-1,-1,-1,612559,65853,810615,0,653446
14,Sachsen,2655267,1,652.084,-1,-1,-1,-1,2000203,242113,2623189,10,1969387
15,Sachsen-Anhalt,1571109,0,715.838,-1,-1,-1,-1,1122735,146782,1599934,2,1195395
1,Schleswig-Holstein,2344280,0,807.322,-1,-1,-1,-1,1658022,191506,2353629,0,2107435
16,Thüringen,1489929,0,702.718,-1,-1,-1,-1,1081853,141254,1492560,0,1104652
0,Gesamt,63742994,324,766.448,-1,-1,-1,-1,45681426,5114812,63291453,683,49238918
