RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8174583,1601,736.423,-1,-1,-1,-1,5877655,636519,8137411,5394,6102831
9,Bayern,9681817,1809,737.677,-1,-1,-1,-1,7081724,760884,9704569,6976,7061908
11,Berlin,2830630,561,771.396,-1,-1,-1,-1,2022479,329363,2789312,1823,2085686
12,Brandenburg,1748069,396,693.157,-1,-1,-1,-1,1231595,152743,1723870,1571,1235703
4,Bremen,610533,161,896.258,-1,-1,-1,-1,417885,45375,597732,498,422674
2,Hamburg,1510664,324,817.789,-1,-1,-1,-1,1081875,127606,1492104,1438,1011296
6,Hessen,4805900,1127,764.287,-1,-1,-1,-1,3427656,406170,4628344,3529,3366735
13,Mecklenburg-Vorpommern,1190900,226,740.546,-1,-1,-1,-1,880302,98809,1180585,712,864941
3,Niedersachsen,6243731,1262,781.090,-1,-1,-1,-1,4165347,514240,6122717,4216,4816531
5,Nordrhein-Westfalen,14344637,3632,799.268,-1,-1,-1,-1,10335373,904066,13974996,8471,10447457
7,Rheinland-Pfalz,3159960,511,771.870,-1,-1,-1,-1,2309914,241340,3037046,1778,2302636
10,Saarland,808179,153,818.917,-1,-1,-1,-1,609804,65621,799728,556,622107
14,Sachsen,2638207,562,647.894,-1,-1,-1,-1,1987675,241303,2580294,1405,1839337
15,Sachsen-Anhalt,1561032,279,711.247,-1,-1,-1,-1,1115035,146019,1571494,775,1112497
1,Schleswig-Holstein,2330879,610,802.707,-1,-1,-1,-1,1647613,190640,2314845,2722,1873331
16,Thüringen,1479404,341,697.754,-1,-1,-1,-1,1074381,140970,1467718,1070,1041385
0,Gesamt,63320634,13557,761.370,-1,-1,-1,-1,45356140,5084950,62316945,42968,46345147
