RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,349631,7719,31.497,201945,118676,11056,65444,333762,15658,165650,7399
9,Bayern,482886,11652,36.792,189919,234218,12905,105870,460430,12524,247180,9653
11,Berlin,132204,1888,36.028,98211,31449,150,37764,126813,4257,78141,3419
12,Brandenburg,81672,57,32.385,37425,40904,1307,18610,77558,4114,58446,3070
4,Bremen,25430,385,37.331,12256,9947,248,7509,23133,1379,15162,712
2,Hamburg,67681,1413,36.639,28217,33248,1885,13753,62560,1604,36062,1418
6,Hessen,196696,4088,31.281,97013,76296,5733,43773,192559,3286,89213,3328
13,Mecklenburg-Vorpommern,63400,1064,39.424,14760,29060,1474,19740,60242,1629,34567,1448
3,Niedersachsen,222674,9226,27.857,65499,109707,31622,83007,211629,5471,125091,4664
5,Nordrhein-Westfalen,609357,17842,33.953,142608,345899,14152,172676,565277,15572,296000,1756
7,Rheinland-Pfalz,152862,1657,37.339,52624,64582,97,35559,145188,4500,106766,5901
10,Saarland,34510,1562,34.969,22085,9384,0,9289,32156,1462,16970,745
14,Sachsen,132582,3143,32.560,32278,72051,4223,30112,126769,5029,64393,2838
15,Sachsen-Anhalt,69639,1842,31.729,24414,34964,3204,22890,64578,1614,39561,1814
1,Schleswig-Holstein,107732,2756,37.101,31411,32873,6641,33898,104130,1535,59368,2747
16,Thüringen,84776,2247,39.738,38091,36546,4258,9699,78492,3953,38252,2335
0,Gesamt,2813732,68541,33.832,1088756,1279804,98955,709593,2665276,83587,1470822,53247
