RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7337239,1504,660.989,-1,-1,-1,-1,5189020,552695,7100210,1535,188544
9,Bayern,8636155,1504,658.006,-1,-1,-1,-1,6186889,672574,8345157,1848,167516
11,Berlin,2510306,501,684.102,-1,-1,-1,-1,1764748,291614,2410886,811,101912
12,Brandenburg,1577475,110,625.512,-1,-1,-1,-1,1093153,132009,1510092,79,22783
4,Bremen,546712,0,802.570,-1,-1,-1,-1,371023,35224,524064,0,16040
2,Hamburg,1355331,131,733.701,-1,-1,-1,-1,958652,118760,1301738,101,20692
6,Hessen,4318480,390,686.772,-1,-1,-1,-1,3024221,345354,4085412,525,95065
13,Mecklenburg-Vorpommern,1071058,73,666.024,-1,-1,-1,-1,783081,82637,1033236,68,16528
3,Niedersachsen,5717039,201,715.201,-1,-1,-1,-1,3706885,471022,5423781,209,73786
5,Nordrhein-Westfalen,13145988,272,732.480,-1,-1,-1,-1,9313490,793036,12408808,558,318211
7,Rheinland-Pfalz,2888731,30,705.618,-1,-1,-1,-1,2081238,214118,2691685,56,71321
10,Saarland,739885,11,749.716,-1,-1,-1,-1,555658,57361,712685,45,14413
14,Sachsen,2373684,31,582.932,-1,-1,-1,-1,1760277,210276,2273313,24,31784
15,Sachsen-Anhalt,1399182,8,637.504,-1,-1,-1,-1,988054,119241,1356526,11,32135
1,Schleswig-Holstein,2135356,35,735.373,-1,-1,-1,-1,1480691,168599,2053213,112,68647
16,Thüringen,1304327,453,615.180,-1,-1,-1,-1,934311,126559,1269825,1062,31628
0,Gesamt,57250155,5254,688.378,-1,-1,-1,-1,40273871,4473754,54685649,7044,1271293
