RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,122057,7354,10.996,62507,37050,3887,24404,121737,320,4457,1953
9,Bayern,220318,6481,16.786,53985,114451,4018,65949,213624,6694,419,419
11,Berlin,55134,2512,15.025,36186,18717,105,25739,54499,635,4138,2205
12,Brandenburg,41094,2620,16.295,11184,29008,411,5561,41094,0,0,0
4,Bremen,12866,614,18.887,1457,6384,101,4866,12433,433,390,318
2,Hamburg,26517,1945,14.355,10001,11954,1817,7085,26362,155,598,174
6,Hessen,74071,1255,11.780,18945,42128,4244,28916,74071,0,3000,1264
13,Mecklenburg-Vorpommern,39116,1420,24.324,3783,18632,730,16540,38745,371,1157,1157
3,Niedersachsen,94116,3546,11.774,18614,50171,14743,42040,92738,1378,837,473
5,Nordrhein-Westfalen,218699,2360,12.186,0,107592,0,111115,218699,0,4593,1722
7,Rheinland-Pfalz,91423,7496,22.332,30312,40099,25,20986,89129,2294,1196,0
10,Saarland,16957,1246,17.182,12177,3128,0,5808,16957,0,0,0
14,Sachsen,53663,3661,13.179,4539,41461,1,12201,53663,0,368,0
15,Sachsen-Anhalt,34411,1263,15.679,11204,16733,1437,15002,34411,0,2927,2248
1,Schleswig-Holstein,69126,3277,23.806,18538,23248,5460,18361,69076,50,640,640
16,Thüringen,25975,2239,12.176,6144,16038,708,3262,25975,0,21,21
0,Gesamt,1195543,49289,14.375,299576,576794,37687,407835,1183213,12330,24741,12594
