RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8160019,1429,735.111,-1,-1,-1,-1,5864986,635283,8092708,4895,6002585
9,Bayern,9663811,1981,736.305,-1,-1,-1,-1,7064924,759845,9647895,5582,6904936
11,Berlin,2825100,602,769.889,-1,-1,-1,-1,2017606,328879,2772611,2047,2036914
12,Brandenburg,1744532,412,691.755,-1,-1,-1,-1,1228488,152457,1712612,1054,1204098
4,Bremen,609057,126,894.092,-1,-1,-1,-1,416542,45276,593994,260,413565
2,Hamburg,1507555,190,816.106,-1,-1,-1,-1,1079160,127356,1482605,818,982861
6,Hessen,4794845,989,762.529,-1,-1,-1,-1,3417254,405597,4598042,2614,3287504
13,Mecklenburg-Vorpommern,1188938,200,739.326,-1,-1,-1,-1,878571,98592,1175616,729,848529
3,Niedersachsen,6228453,1030,779.179,-1,-1,-1,-1,4151036,513491,6081192,3100,4707211
5,Nordrhein-Westfalen,14315201,2134,797.628,-1,-1,-1,-1,10309147,901968,13896730,5731,10212586
7,Rheinland-Pfalz,3153399,563,770.267,-1,-1,-1,-1,2303892,240883,3017954,2121,2250482
10,Saarland,806921,149,817.643,-1,-1,-1,-1,608694,65545,795173,543,611631
14,Sachsen,2632194,611,646.418,-1,-1,-1,-1,1982167,240850,2563241,1966,1788770
15,Sachsen-Anhalt,1557518,368,709.646,-1,-1,-1,-1,1111841,145755,1561832,946,1081214
1,Schleswig-Holstein,2326183,670,801.090,-1,-1,-1,-1,1643223,190370,2299021,1696,1821703
16,Thüringen,1476119,216,696.205,-1,-1,-1,-1,1071377,140782,1458000,645,1016663
0,Gesamt,63191233,11671,759.814,-1,-1,-1,-1,45238622,5076204,61943072,34757,45307550
