RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4765800,56335,429.336,-1,-1,-1,-1,3250347,403298,2126529,81258
9,Bayern,5663543,67133,431.517,-1,-1,-1,-1,4001959,395090,2570102,114296
11,Berlin,1564635,29068,426.390,-1,-1,-1,-1,1066471,158963,697035,21842
12,Brandenburg,995828,18036,394.873,-1,-1,-1,-1,681152,77660,498929,18526
4,Bremen,312145,4900,458.227,-1,-1,-1,-1,202764,19082,156864,4272
2,Hamburg,764561,7153,413.891,-1,-1,-1,-1,513880,79544,350087,9742
6,Hessen,2773723,43979,441.108,-1,-1,-1,-1,1871686,224642,1102168,50949
13,Mecklenburg-Vorpommern,721185,10340,448.460,-1,-1,-1,-1,521619,60058,321235,17594
3,Niedersachsen,3506857,45372,438.708,-1,-1,-1,-1,2260762,218331,1421006,65321
5,Nordrhein-Westfalen,8397305,110874,467.889,-1,-1,-1,-1,5666115,636726,3541108,160618
7,Rheinland-Pfalz,1734357,29861,423.644,-1,-1,-1,-1,1198077,134067,852053,34825
10,Saarland,467720,7173,473.935,-1,-1,-1,-1,356886,34138,229518,11004
14,Sachsen,1580705,25392,388.192,-1,-1,-1,-1,1096246,156926,912578,28929
15,Sachsen-Anhalt,914812,15265,416.812,-1,-1,-1,-1,652216,74829,422758,19063
1,Schleswig-Holstein,1289179,24451,443.967,-1,-1,-1,-1,895616,88670,623137,24224
16,Thüringen,897134,13733,420.523,-1,-1,-1,-1,632184,106221,443942,14525
0,Gesamt,36461594,511668,438.416,-1,-1,-1,-1,24890949,2939086,16318175,681084
