RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,310601,8684,27.981,177265,106920,10272,59288,298129,12472,125622,5693
9,Bayern,421168,14846,32.090,158372,210226,10211,99630,407966,12026,213152,4549
11,Berlin,124426,2291,33.908,92558,29326,148,35386,120163,4056,60133,2405
12,Brandenburg,80169,503,31.789,36493,40378,1227,18270,76753,3416,39984,6523
4,Bremen,23132,420,33.958,11192,8852,187,7429,21801,1269,11381,726
2,Hamburg,59542,2117,32.233,24145,29271,1869,13289,57191,1604,28623,1700
6,Hessen,175219,4717,27.865,82989,70183,5581,42000,173086,1946,71954,3146
13,Mecklenburg-Vorpommern,64308,1391,39.989,14268,27534,1299,21944,62549,1759,28892,2654
3,Niedersachsen,191965,4156,24.015,46503,99916,29342,78743,187327,4541,95327,2895
5,Nordrhein-Westfalen,510546,19773,28.447,90898,301617,12823,168683,494106,13408,253932,11183
7,Rheinland-Pfalz,148262,218,36.215,52512,60209,94,35447,144342,3920,76440,7528
10,Saarland,28066,1621,28.439,18200,7655,0,7521,26490,1456,15515,189
14,Sachsen,117961,2688,28.969,24328,68043,3436,28118,114604,3357,52335,3154
15,Sachsen-Anhalt,60685,1575,27.650,21647,29685,2801,20543,58705,1611,33712,1843
1,Schleswig-Holstein,101078,1207,34.809,29366,29930,6550,31503,99855,1223,42977,2910
16,Thüringen,73295,2218,34.356,32429,31896,3217,8654,70252,3043,28746,2749
0,Gesamt,2490423,68425,29.945,913165,1151641,89057,676448,2413319,71107,1178725,59847
