RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8067800,4008,726.803,-1,-1,-1,-1,5785073,625659,7896432,5403,5319443
9,Bayern,9551061,3137,727.714,-1,-1,-1,-1,6964305,749418,9413585,4355,5988435
11,Berlin,2791324,1052,760.684,-1,-1,-1,-1,1990433,325091,2697988,1665,1747161
12,Brandenburg,1724694,80,683.889,-1,-1,-1,-1,1211584,149851,1674686,187,1030807
4,Bremen,601515,231,883.020,-1,-1,-1,-1,410306,44213,579809,215,354972
2,Hamburg,1488225,582,805.642,-1,-1,-1,-1,1061919,125789,1447508,698,813053
6,Hessen,4723306,1537,751.152,-1,-1,-1,-1,3353788,398170,4491024,1117,2748583
13,Mecklenburg-Vorpommern,1174812,29,730.542,-1,-1,-1,-1,866647,96582,1148600,52,718155
3,Niedersachsen,6142780,1019,768.462,-1,-1,-1,-1,4072561,507758,5935408,834,4121961
5,Nordrhein-Westfalen,14155281,3270,788.717,-1,-1,-1,-1,10167988,886156,13576246,3238,8882199
7,Rheinland-Pfalz,3114198,582,760.692,-1,-1,-1,-1,2268911,236940,2950245,1048,1982468
10,Saarland,798688,43,809.300,-1,-1,-1,-1,601906,64557,776485,56,551529
14,Sachsen,2599470,136,638.381,-1,-1,-1,-1,1953382,237190,2507182,206,1517347
15,Sachsen-Anhalt,1536417,21,700.032,-1,-1,-1,-1,1094492,142242,1518180,57,887552
1,Schleswig-Holstein,2293801,362,789.938,-1,-1,-1,-1,1613858,187513,2247507,425,1530004
16,Thüringen,1459214,44,688.232,-1,-1,-1,-1,1056430,139491,1422180,49,879858
0,Gesamt,62423260,16133,750.580,-1,-1,-1,-1,44562625,4999856,60474763,19605,39189121
