RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7391522,6835,665.879,-1,-1,-1,-1,5237127,553407,6768786,10663,262722
9,Bayern,8714884,8723,664.004,-1,-1,-1,-1,6256342,674165,8018956,13630,281982
11,Berlin,2532693,2234,690.203,-1,-1,-1,-1,1780232,296294,2330798,3308,146723
12,Brandenburg,1590721,1566,630.765,-1,-1,-1,-1,1105083,132069,1427251,2808,35606
4,Bremen,550996,478,808.858,-1,-1,-1,-1,374379,35333,487348,548,22794
2,Hamburg,1371534,1333,742.472,-1,-1,-1,-1,972299,118871,1239016,1914,38471
6,Hessen,4348564,3217,691.557,-1,-1,-1,-1,3051438,345870,3907607,5748,137085
13,Mecklenburg-Vorpommern,1080655,1357,671.991,-1,-1,-1,-1,791419,82739,986363,1466,28782
3,Niedersachsen,5746865,3220,718.933,-1,-1,-1,-1,3733584,471156,5063966,5944,141410
5,Nordrhein-Westfalen,13227655,9172,737.031,-1,-1,-1,-1,9387557,793603,11801944,19319,469863
7,Rheinland-Pfalz,2907036,1638,710.089,-1,-1,-1,-1,2097221,214215,2572245,3953,102157
10,Saarland,744508,420,754.400,-1,-1,-1,-1,559712,57390,675359,752,21670
14,Sachsen,2389654,2036,586.854,-1,-1,-1,-1,1774811,210959,2201301,3139,48277
15,Sachsen-Anhalt,1408328,807,641.671,-1,-1,-1,-1,996181,119475,1271478,1135,42829
1,Schleswig-Holstein,2150757,2758,740.677,-1,-1,-1,-1,1493790,168802,1948746,2590,102717
16,Thüringen,1315533,975,616.643,-1,-1,-1,-1,943888,126651,1208404,1182,48935
0,Gesamt,57665432,46792,693.372,-1,-1,-1,-1,40637813,4483724,52086947,78153,1932647
