RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6371114,15074,573.954,-1,-1,-1,-1,4424335,523228,4727318,54476
9,Bayern,7444689,22750,567.226,-1,-1,-1,-1,5226847,618149,5452827,32039
11,Berlin,2121213,5793,578.067,-1,-1,-1,-1,1465477,238038,1553674,16824
12,Brandenburg,1362809,2006,540.391,-1,-1,-1,-1,925804,120190,989425,10110
4,Bremen,461719,1027,677.800,-1,-1,-1,-1,315055,26000,310976,5234
2,Hamburg,1089938,7479,590.032,-1,-1,-1,-1,749297,104418,762086,3519
6,Hessen,3630629,13585,577.383,-1,-1,-1,-1,2483631,286274,2641805,27588
13,Mecklenburg-Vorpommern,927521,2570,576.767,-1,-1,-1,-1,671551,74396,716575,5213
3,Niedersachsen,4867552,19156,608.931,-1,-1,-1,-1,3060217,417484,3261982,30346
5,Nordrhein-Westfalen,11095260,43275,618.216,-1,-1,-1,-1,7588428,713812,8317142,48885
7,Rheinland-Pfalz,2441830,6403,596.455,-1,-1,-1,-1,1718203,185297,1733093,24096
10,Saarland,624239,4266,632.533,-1,-1,-1,-1,466855,49203,465325,3150
14,Sachsen,2033162,5701,499.307,-1,-1,-1,-1,1479459,182282,1630263,11113
15,Sachsen-Anhalt,1201147,3578,547.274,-1,-1,-1,-1,841331,107420,905665,8566
1,Schleswig-Holstein,1804169,4099,621.319,-1,-1,-1,-1,1221614,144603,1299433,10534
16,Thüringen,1143109,1316,535.821,-1,-1,-1,-1,811759,123116,880486,9929
0,Gesamt,48799636,158150,586.769,-1,-1,-1,-1,33525199,3994879,35776237,303418
