RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8218981,204,740.422,-1,-1,-1,-1,5909712,641316,8244654,231,6354788
9,Bayern,9731781,58,741.484,-1,-1,-1,-1,7121539,763754,9833674,195,7407577
11,Berlin,2847729,37,776.056,-1,-1,-1,-1,2035559,330223,2826922,68,2197364
12,Brandenburg,1758015,0,697.101,-1,-1,-1,-1,1239199,153446,1748852,0,1317330
4,Bremen,614836,5,902.575,-1,-1,-1,-1,421062,45841,607239,6,442528
2,Hamburg,1541056,15,834.242,-1,-1,-1,-1,1107439,129993,1540333,65,1119478
6,Hessen,4835146,40,768.938,-1,-1,-1,-1,3451188,407737,4700198,88,3576845
13,Mecklenburg-Vorpommern,1198441,3,745.235,-1,-1,-1,-1,885391,99464,1200159,1,920600
3,Niedersachsen,6284086,25,786.139,-1,-1,-1,-1,4195963,517109,6221548,39,5093449
5,Nordrhein-Westfalen,14429978,108,804.023,-1,-1,-1,-1,10403022,910203,14163463,384,11054914
7,Rheinland-Pfalz,3181465,5,777.123,-1,-1,-1,-1,2323857,242667,3083699,8,2422249
10,Saarland,811817,0,822.604,-1,-1,-1,-1,612377,65843,810090,0,651403
14,Sachsen,2654344,9,651.857,-1,-1,-1,-1,1999526,242087,2620660,18,1960519
15,Sachsen-Anhalt,1570458,0,715.542,-1,-1,-1,-1,1122252,146724,1598245,5,1189185
1,Schleswig-Holstein,2343759,4,807.143,-1,-1,-1,-1,1657604,191456,2352278,7,2102075
16,Thüringen,1489593,0,702.560,-1,-1,-1,-1,1081575,141270,1491558,0,1101296
0,Gesamt,63713540,513,766.094,-1,-1,-1,-1,45657552,5112469,63238599,1115,49054067
