RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,114954,5352,10.356,58770,35662,3663,23375,114954,0,0,0
9,Bayern,213837,5296,16.293,52396,110513,3924,64585,213837,0,0,0
11,Berlin,52622,1571,14.340,34017,18345,105,25336,52162,460,1933,1933
12,Brandenburg,38474,0,15.256,9387,28252,368,4790,38474,0,0,0
4,Bremen,11845,394,17.388,1313,5751,100,4533,11845,0,0,0
2,Hamburg,24468,1184,13.246,9187,10969,1812,6369,24468,0,425,425
6,Hessen,72816,926,11.580,18718,41377,4096,28459,72816,0,1736,1736
13,Mecklenburg-Vorpommern,37564,0,23.359,3452,18238,706,15987,37444,120,0,0
3,Niedersachsen,90005,813,11.260,17857,45075,16913,40119,88766,1239,335,335
5,Nordrhein-Westfalen,211779,5728,11.800,0,104080,0,108365,211779,0,968,906
7,Rheinland-Pfalz,82810,2879,20.228,24876,37867,19,20048,81905,905,350,350
10,Saarland,15711,250,15.920,11626,2551,0,5560,15711,0,0,0
14,Sachsen,50002,3019,12.280,4303,38835,1,11166,50002,0,155,155
15,Sachsen-Anhalt,33148,21,15.103,10575,16277,1372,14609,33148,0,679,624
1,Schleswig-Holstein,65849,3524,22.677,17562,22557,5458,18323,65849,0,0,0
16,Thüringen,23413,195,10.975,5024,15020,475,2892,23413,0,0,0
0,Gesamt,1139297,31152,13.699,279063,551369,39012,394516,1136573,2724,6581,6464
