RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7377551,5219,664.621,-1,-1,-1,-1,5224306,553278,7170209,8923,238433
9,Bayern,8697772,7597,662.701,-1,-1,-1,-1,6240932,673838,8439240,11627,243642
11,Berlin,2527885,2076,688.893,-1,-1,-1,-1,1776213,295923,2434253,3378,131574
12,Brandenburg,1587504,1210,629.489,-1,-1,-1,-1,1102251,132049,1524283,2235,29966
4,Bremen,550019,394,807.424,-1,-1,-1,-1,373583,35310,528899,628,20518
2,Hamburg,1368291,1133,740.717,-1,-1,-1,-1,969457,118849,1322067,1794,33092
6,Hessen,4340488,2765,690.272,-1,-1,-1,-1,3044150,345702,4119681,5128,119231
13,Mecklenburg-Vorpommern,1078258,834,670.501,-1,-1,-1,-1,789213,82720,1043649,1201,24634
3,Niedersachsen,5739533,2652,718.015,-1,-1,-1,-1,3726833,471139,5461173,5265,117901
5,Nordrhein-Westfalen,13203568,8501,735.689,-1,-1,-1,-1,9365327,793454,12516505,17973,411858
7,Rheinland-Pfalz,2902859,1880,709.069,-1,-1,-1,-1,2093342,214202,2716315,4435,90830
10,Saarland,743435,386,753.313,-1,-1,-1,-1,558793,57374,717781,709,19325
14,Sachsen,2385677,1615,585.878,-1,-1,-1,-1,1771136,210822,2290651,2613,42192
15,Sachsen-Anhalt,1406645,672,640.904,-1,-1,-1,-1,994686,119379,1369296,1120,39953
1,Schleswig-Holstein,2145963,1710,739.026,-1,-1,-1,-1,1490225,168778,2071433,2568,90630
16,Thüringen,1313276,1324,619.401,-1,-1,-1,-1,941814,126639,1280820,1492,43419
0,Gesamt,57562198,39987,692.130,-1,-1,-1,-1,40544960,4482179,55191607,71141,1697713
