RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8112141,3009,730.798,-1,-1,-1,-1,5823160,630870,7984214,7155,5668204
9,Bayern,9608542,4552,732.094,-1,-1,-1,-1,7014707,755580,9514991,9454,6430777
11,Berlin,2806562,1471,764.837,-1,-1,-1,-1,2003757,326700,2726539,2817,1887668
12,Brandenburg,1734936,778,687.950,-1,-1,-1,-1,1220120,151417,1692124,1509,1123738
4,Bremen,605006,491,888.145,-1,-1,-1,-1,413033,44836,585786,550,384942
2,Hamburg,1497475,519,810.650,-1,-1,-1,-1,1070296,126404,1460695,732,900832
6,Hessen,4759579,2150,756.921,-1,-1,-1,-1,3385089,402724,4536932,3618,3033929
13,Mecklenburg-Vorpommern,1181215,619,734.523,-1,-1,-1,-1,871933,97618,1160001,1117,781553
3,Niedersachsen,6183091,2438,773.504,-1,-1,-1,-1,4108561,510880,5996885,5198,4413571
5,Nordrhein-Westfalen,14231887,5146,792.986,-1,-1,-1,-1,10234986,894426,13715787,8381,9534648
7,Rheinland-Pfalz,3134888,2214,765.746,-1,-1,-1,-1,2287140,239272,2977912,3650,2129834
10,Saarland,803007,319,813.677,-1,-1,-1,-1,605417,65146,784122,1037,582155
14,Sachsen,2615157,1465,642.234,-1,-1,-1,-1,1966917,239217,2528346,2243,1647285
15,Sachsen-Anhalt,1545564,712,704.199,-1,-1,-1,-1,1101652,144119,1535085,1411,975286
1,Schleswig-Holstein,2307697,1097,794.724,-1,-1,-1,-1,1626173,189037,2268883,1768,1679529
16,Thüringen,1466406,553,691.624,-1,-1,-1,-1,1062791,140141,1434560,1520,941344
0,Gesamt,62794239,27541,755.041,-1,-1,-1,-1,44885158,5041649,61095818,52188,42243410
