RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4709028,44456,424.222,-1,-1,-1,-1,3200626,399624,2044734,64154
9,Bayern,5596410,48769,426.402,-1,-1,-1,-1,3942372,393346,2455806,97700
11,Berlin,1535567,22995,418.469,-1,-1,-1,-1,1043079,155625,675193,17856
12,Brandenburg,977597,14236,387.644,-1,-1,-1,-1,666279,75587,480087,18329
4,Bremen,307229,4436,451.010,-1,-1,-1,-1,198982,18686,152595,3738
2,Hamburg,757232,5073,409.923,-1,-1,-1,-1,507604,79363,340187,14615
6,Hessen,2729608,29120,434.092,-1,-1,-1,-1,1831524,223926,1050047,35404
13,Mecklenburg-Vorpommern,710163,7441,441.606,-1,-1,-1,-1,512921,58734,303096,13641
3,Niedersachsen,3460674,27728,432.930,-1,-1,-1,-1,2220481,218112,1353570,50060
5,Nordrhein-Westfalen,8279629,93155,461.332,-1,-1,-1,-1,5562943,633542,3356021,140241
7,Rheinland-Pfalz,1703429,22522,416.089,-1,-1,-1,-1,1172507,130266,815258,24663
10,Saarland,460528,5402,466.647,-1,-1,-1,-1,350733,33770,218014,8776
14,Sachsen,1554712,19465,381.808,-1,-1,-1,-1,1073308,155577,883649,18426
15,Sachsen-Anhalt,899547,11248,409.857,-1,-1,-1,-1,639233,73224,403695,16053
1,Schleswig-Holstein,1263467,23309,435.112,-1,-1,-1,-1,875678,87196,598082,17493
16,Thüringen,882737,13175,413.774,-1,-1,-1,-1,619758,104948,429230,8323
0,Gesamt,35936861,394790,432.106,-1,-1,-1,-1,24438661,2911903,15604092,552408
