RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,1216957,27685,109.632,550874,499055,102035,101568,779305,55778,522298,9125
9,Bayern,1497538,28181,114.100,707993,612358,143302,139166,1005105,79417,683285,12036
11,Berlin,427106,11475,116.394,289603,137099,8932,49639,275768,41024,196900,5008
12,Brandenburg,306085,9355,121.371,150345,108826,36210,27432,193365,19806,95414,1208
4,Bremen,86878,2089,127.536,40288,40177,2211,8874,55865,5350,34428,592
2,Hamburg,219143,4276,118.632,80654,122728,10402,16054,154174,9950,91010,848
6,Hessen,690920,11527,109.878,266180,278490,54145,56102,464006,24484,312911,9260
13,Mecklenburg-Vorpommern,166043,4840,103.252,68634,63590,8776,29774,123243,8975,71910,960
3,Niedersachsen,871164,21136,108.983,422958,363181,72772,107387,561041,41718,388595,10270
5,Nordrhein-Westfalen,1837983,14700,102.410,736485,971577,60041,198189,1173564,60074,783385,7964
7,Rheinland-Pfalz,493446,13283,120.532,215205,222619,22425,48177,333239,28006,182576,6774
10,Saarland,127312,2324,129.004,65209,44362,9039,15208,83215,7118,43264,1855
14,Sachsen,391014,8705,96.026,137960,146058,36833,33995,290764,21574,234043,6639
15,Sachsen-Anhalt,244033,8710,111.188,109784,94639,20053,36073,157897,16475,92760,2473
1,Schleswig-Holstein,364427,8940,125.501,185462,129966,28569,64941,241154,19643,111735,1205
16,Thüringen,269478,5798,126.315,135813,88638,37464,29414,167541,20000,116631,2641
0,Gesamt,9216487,183024,110.819,4163447,3930323,653209,961993,6059246,459762,3961165,78858
