RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:9
8,Baden-Württemberg,55320,6213,5,29263,16514,2561,9100,0
9,Bayern,93966,5050,7,20665,47801,1676,31568,0
11,Berlin,28871,2465,8,18591,9676,105,18171,0
12,Brandenburg,13895,2414,6,1608,12192,87,908,0
4,Bremen,5291,720,8,1054,2103,42,1924,0
2,Hamburg,9888,1417,5,3172,5188,116,2579,0
6,Hessen,48653,2647,8,12574,28861,2320,18148,0
13,Mecklenburg-Vorpommern,25141,779,16,1473,13122,194,11541,0
3,Niedersachsen,41646,7803,5,9369,20483,7978,22615,0
5,Nordrhein-Westfalen,98950,6574,6,0,43671,0,55287,0
7,Rheinland-Pfalz,25482,4376,6,3777,14104,4,7597,0
10,Saarland,8232,874,8,6236,1104,0,2938,0
14,Sachsen,17991,2398,4,1024,15283,1,2707,0
15,Sachsen-Anhalt,20799,1400,9,6427,10228,987,10214,0
1,Schleswig-Holstein,28241,3936,10,6486,12623,3947,10551,0
16,Thüringen,10512,1000,5,903,8583,25,924,0
0,Gesamt,532878,50066,6,122622,261536,20043,206772,0
