RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7306698,1051,658.238,-1,-1,-1,-1,5162247,552358,7045067,1129,159831
9,Bayern,8584319,1836,654.056,-1,-1,-1,-1,6142123,671540,8266007,2451,124960
11,Berlin,2497104,633,680.504,-1,-1,-1,-1,1754897,289417,2392331,991,82562
12,Brandenburg,1571436,7,623.118,-1,-1,-1,-1,1088064,131973,1501526,0,18687
4,Bremen,542992,136,797.109,-1,-1,-1,-1,368046,35133,518947,45,13337
2,Hamburg,1346798,647,729.082,-1,-1,-1,-1,951838,118631,1290629,524,15191
6,Hessen,4300470,319,683.908,-1,-1,-1,-1,3008312,345004,4057758,613,80132
13,Mecklenburg-Vorpommern,1064771,27,662.114,-1,-1,-1,-1,777913,82589,1022343,24,12435
3,Niedersachsen,5693594,312,712.268,-1,-1,-1,-1,3685297,470963,5383340,391,48776
5,Nordrhein-Westfalen,13097862,393,729.799,-1,-1,-1,-1,9271138,792667,12323630,676,264239
7,Rheinland-Pfalz,2878463,42,703.110,-1,-1,-1,-1,2072138,214073,2674810,82,58993
10,Saarland,736044,6,745.824,-1,-1,-1,-1,552447,57344,706864,1,10487
14,Sachsen,2360779,158,579.763,-1,-1,-1,-1,1748762,209726,2250551,170,22857
15,Sachsen-Anhalt,1392246,6,634.344,-1,-1,-1,-1,981929,119159,1344954,2,26620
1,Schleswig-Holstein,2128731,26,733.091,-1,-1,-1,-1,1474782,168559,2042781,30,57922
16,Thüringen,1296211,268,611.352,-1,-1,-1,-1,927788,126447,1258252,76,24086
0,Gesamt,56991542,5867,685.269,-1,-1,-1,-1,40050059,4468217,54264564,7205,1021344
