RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,2430116,66219,218.922,-1,-1,-1,-1,1568375,109420,762312,5888
9,Bayern,3082772,81186,234.883,-1,-1,-1,-1,2125868,168595,901759,3757
11,Berlin,793159,15297,216.150,-1,-1,-1,-1,523429,51085,312247,4226
12,Brandenburg,556633,11893,220.720,-1,-1,-1,-1,372576,43178,175402,1631
4,Bremen,171336,3405,251.520,-1,-1,-1,-1,115445,9646,52851,993
2,Hamburg,433199,13280,234.510,-1,-1,-1,-1,276263,22704,108603,198
6,Hessen,1305175,34969,207.563,-1,-1,-1,-1,829861,59763,463837,2245
13,Mecklenburg-Vorpommern,381229,13802,237.062,-1,-1,-1,-1,268744,24709,105357,940
3,Niedersachsen,1790620,55378,224.006,-1,-1,-1,-1,1131482,130439,521308,1323
5,Nordrhein-Westfalen,4238644,84078,236.173,-1,-1,-1,-1,2755945,167698,1237113,10828
7,Rheinland-Pfalz,937536,21172,229.008,-1,-1,-1,-1,640987,40842,285407,5812
10,Saarland,250099,5513,253.422,-1,-1,-1,-1,189052,15123,79119,497
14,Sachsen,894224,13302,219.605,-1,-1,-1,-1,622301,51172,319339,6733
15,Sachsen-Anhalt,521914,13058,237.798,-1,-1,-1,-1,345599,35875,135697,3546
1,Schleswig-Holstein,661483,10813,227.801,-1,-1,-1,-1,458525,40379,199501,4877
16,Thüringen,471119,7352,220.832,-1,-1,-1,-1,349273,27308,195181,6063
0,Gesamt,18965663,452197,228.044,-1,-1,-1,-1,12574961,1027368,5855864,59865
