RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8127348,4641,732.168,-1,-1,-1,-1,5836434,632485,8014180,9385,5793313
9,Bayern,9626405,5549,733.455,-1,-1,-1,-1,7030744,757217,9553831,11948,6603683
11,Berlin,2815499,4333,767.272,-1,-1,-1,-1,2009494,327717,2750127,13322,1951790
12,Brandenburg,1739078,1149,689.592,-1,-1,-1,-1,1223708,151903,1700223,2562,1162897
4,Bremen,606182,218,889.871,-1,-1,-1,-1,414009,44989,588039,535,394109
2,Hamburg,1500813,792,812.457,-1,-1,-1,-1,1073280,126655,1467860,1751,931939
6,Hessen,4770473,2858,758.653,-1,-1,-1,-1,3394753,403866,4554696,5156,3126202
13,Mecklenburg-Vorpommern,1183918,1009,736.204,-1,-1,-1,-1,874206,98021,1165136,1760,807550
3,Niedersachsen,6198829,3974,775.473,-1,-1,-1,-1,4123308,511775,6024068,7074,4527780
5,Nordrhein-Westfalen,14258270,6863,794.456,-1,-1,-1,-1,10257894,897233,13769476,12944,9786142
7,Rheinland-Pfalz,3141146,1876,767.274,-1,-1,-1,-1,2292780,239845,2988134,2953,2173861
10,Saarland,804218,384,814.904,-1,-1,-1,-1,606449,65275,787569,1171,592901
14,Sachsen,2621039,1963,643.678,-1,-1,-1,-1,1972136,239842,2537945,3219,1701200
15,Sachsen-Anhalt,1549805,1195,706.132,-1,-1,-1,-1,1105272,144710,1543701,2356,1015675
1,Schleswig-Holstein,2314278,2397,796.990,-1,-1,-1,-1,1632206,189565,2279143,3553,1733768
16,Thüringen,1469771,1127,693.211,-1,-1,-1,-1,1065823,140413,1442534,2557,972028
0,Gesamt,62928328,40350,756.653,-1,-1,-1,-1,45002078,5054785,61360066,82363,43407100
