RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8224060,366,740.880,-1,-1,-1,-1,5912772,642262,8252903,686,6377190
9,Bayern,9735999,270,741.805,-1,-1,-1,-1,7125031,764025,9844674,792,7440659
11,Berlin,2853000,132,777.492,-1,-1,-1,-1,2040325,330298,2831786,287,2212877
12,Brandenburg,1758678,58,697.364,-1,-1,-1,-1,1239705,153482,1750684,188,1325021
4,Bremen,615253,50,903.187,-1,-1,-1,-1,421413,45882,608122,99,445348
2,Hamburg,1546637,66,837.263,-1,-1,-1,-1,1112102,130089,1545447,101,1129935
6,Hessen,4837558,225,769.322,-1,-1,-1,-1,3453295,407799,4705610,513,3594746
13,Mecklenburg-Vorpommern,1199128,77,745.662,-1,-1,-1,-1,885931,99525,1201738,145,926940
3,Niedersachsen,6287435,246,786.558,-1,-1,-1,-1,4198621,517479,6228912,475,5118439
5,Nordrhein-Westfalen,14437712,346,804.454,-1,-1,-1,-1,10408990,910932,14178371,983,11110518
7,Rheinland-Pfalz,3182836,54,777.458,-1,-1,-1,-1,2324990,242767,3086505,176,2434702
10,Saarland,812113,25,822.904,-1,-1,-1,-1,612618,65858,810812,78,654359
14,Sachsen,2655579,126,652.161,-1,-1,-1,-1,2000453,242124,2624093,366,1972570
15,Sachsen-Anhalt,1571288,95,715.920,-1,-1,-1,-1,1122887,146793,1600591,278,1197847
1,Schleswig-Holstein,2344442,28,807.378,-1,-1,-1,-1,1658090,191589,2354201,82,2108331
16,Thüringen,1490100,113,702.799,-1,-1,-1,-1,1081996,141246,1493041,244,1106936
0,Gesamt,63753909,2278,766.580,-1,-1,-1,-1,45689536,5115491,63312575,5498,49299216
