RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,5162993,54493,465.118,-1,-1,-1,-1,3458328,443518,2679782,105744
9,Bayern,5997556,50791,456.966,-1,-1,-1,-1,4160449,406212,3266743,123492
11,Berlin,1748925,21612,476.612,-1,-1,-1,-1,1173163,184189,863354,29028
12,Brandenburg,1148445,23288,455.390,-1,-1,-1,-1,766860,98322,605625,19476
4,Bremen,354840,5815,520.903,-1,-1,-1,-1,224174,21549,187163,5294
2,Hamburg,825353,8959,446.800,-1,-1,-1,-1,542067,80893,437952,17014
6,Hessen,2967688,26924,471.955,-1,-1,-1,-1,1982634,231673,1395446,56931
13,Mecklenburg-Vorpommern,785489,8589,488.446,-1,-1,-1,-1,560146,63599,429517,20498
3,Niedersachsen,3865057,41865,483.518,-1,-1,-1,-1,2403169,236562,1911217,83860
5,Nordrhein-Westfalen,8981678,75307,500.450,-1,-1,-1,-1,5900753,649639,4603066,167665
7,Rheinland-Pfalz,1912371,26711,467.127,-1,-1,-1,-1,1286009,168833,1016635,29445
10,Saarland,502948,5962,509.631,-1,-1,-1,-1,376290,36157,289544,10794
14,Sachsen,1736798,23409,426.525,-1,-1,-1,-1,1194663,161736,1067551,25766
15,Sachsen-Anhalt,985654,13588,449.090,-1,-1,-1,-1,677695,85185,540620,19655
1,Schleswig-Holstein,1453333,21580,500.498,-1,-1,-1,-1,984112,101284,757298,22415
16,Thüringen,974457,10321,456.767,-1,-1,-1,-1,679316,112873,534526,17225
0,Gesamt,39539170,425836,475.421,-1,-1,-1,-1,26409579,3156060,20648461,756442
