RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8196840,908,738.428,-1,-1,-1,-1,5894186,638699,8201935,2132,6241639
9,Bayern,9707180,1158,739.609,-1,-1,-1,-1,7103079,762215,9783944,3192,7250813
11,Berlin,2838417,83,773.518,-1,-1,-1,-1,2028359,329806,2810458,85,2143802
12,Brandenburg,1753712,230,695.395,-1,-1,-1,-1,1236220,153195,1739872,572,1283486
4,Bremen,612654,127,899.372,-1,-1,-1,-1,419409,45530,603573,208,432382
2,Hamburg,1535361,545,831.159,-1,-1,-1,-1,1102759,129621,1530455,1045,1086263
6,Hessen,4820187,439,766.559,-1,-1,-1,-1,3439283,406867,4672259,1443,3476348
13,Mecklenburg-Vorpommern,1195223,208,743.234,-1,-1,-1,-1,883266,99110,1192676,420,895506
3,Niedersachsen,6267734,1119,784.093,-1,-1,-1,-1,4183564,515431,6185419,1929,4975819
5,Nordrhein-Westfalen,14388255,2025,801.698,-1,-1,-1,-1,10370591,906698,14087581,4380,10782418
7,Rheinland-Pfalz,3173133,231,775.087,-1,-1,-1,-1,2317352,241918,3064683,963,2368091
10,Saarland,810293,75,821.060,-1,-1,-1,-1,611249,65715,806181,260,637734
14,Sachsen,2646917,450,650.033,-1,-1,-1,-1,1994285,241753,2604874,920,1902691
15,Sachsen-Anhalt,1566242,235,713.621,-1,-1,-1,-1,1119164,146425,1587497,676,1155024
1,Schleswig-Holstein,2338124,194,805.202,-1,-1,-1,-1,1653528,191042,2339504,907,2003744
16,Thüringen,1485387,208,700.576,-1,-1,-1,-1,1078728,141131,1481985,657,1073993
0,Gesamt,63537436,8235,763.977,-1,-1,-1,-1,45525077,5098476,62887598,19793,47850267
