RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,2287860,83993,206.106,-1,-1,-1,-1,1486910,104403,749362,5751
9,Bayern,2909291,102274,221.665,-1,-1,-1,-1,2007518,160106,895090,3118
11,Berlin,760541,18336,207.261,-1,-1,-1,-1,499682,51021,303685,4681
12,Brandenburg,527253,16516,209.070,-1,-1,-1,-1,353496,43157,171552,2687
4,Bremen,164338,4012,241.247,-1,-1,-1,-1,112113,9301,51096,797
2,Hamburg,403319,14000,218.334,-1,-1,-1,-1,268505,22330,108054,104
6,Hessen,1230810,45880,195.737,-1,-1,-1,-1,794110,54863,459182,2829
13,Mecklenburg-Vorpommern,350179,15810,217.754,-1,-1,-1,-1,250447,22043,103517,1323
3,Niedersachsen,1669892,70562,208.903,-1,-1,-1,-1,1075971,117076,516720,4838
5,Nordrhein-Westfalen,4021059,135055,224.049,-1,-1,-1,-1,2611541,157574,1213311,12182
7,Rheinland-Pfalz,889010,27270,217.155,-1,-1,-1,-1,615716,40175,270860,8297
10,Saarland,236863,7516,240.010,-1,-1,-1,-1,178865,15091,77393,1511
14,Sachsen,860241,27664,211.259,-1,-1,-1,-1,602876,48490,303912,4153
15,Sachsen-Anhalt,492214,18636,224.266,-1,-1,-1,-1,323925,33808,130059,2041
1,Schleswig-Holstein,636218,18451,219.100,-1,-1,-1,-1,443555,39081,187606,6769
16,Thüringen,452367,12454,212.043,-1,-1,-1,-1,336516,25843,182854,6018
0,Gesamt,17932380,621755,215.620,-1,-1,-1,-1,11962969,968568,5724561,67287
