RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4997213,27979,450.183,-1,-1,-1,-1,3333534,433934,2355467,53005
9,Bayern,5847401,25348,445.525,-1,-1,-1,-1,4057997,401651,2875317,67533
11,Berlin,1683539,16143,458.794,-1,-1,-1,-1,1127540,176502,775476,13942
12,Brandenburg,1079407,14018,428.015,-1,-1,-1,-1,719059,89293,544939,8249
4,Bremen,340019,2603,499.146,-1,-1,-1,-1,212785,20574,170072,2886
2,Hamburg,802087,4094,434.205,-1,-1,-1,-1,527980,80488,394474,8108
6,Hessen,2874955,17343,457.207,-1,-1,-1,-1,1916321,227758,1211926,29927
13,Mecklenburg-Vorpommern,761021,4926,473.231,-1,-1,-1,-1,542134,62074,371095,10730
3,Niedersachsen,3734362,24195,467.169,-1,-1,-1,-1,2329744,224701,1640935,43919
5,Nordrhein-Westfalen,8722892,44444,486.030,-1,-1,-1,-1,5748870,645573,3999109,92217
7,Rheinland-Pfalz,1823409,20198,445.396,-1,-1,-1,-1,1231680,151381,907257,13941
10,Saarland,484355,2883,490.791,-1,-1,-1,-1,362745,35642,255017,6669
14,Sachsen,1669185,13293,409.921,-1,-1,-1,-1,1142199,159538,991112,10797
15,Sachsen-Anhalt,977023,9443,445.157,-1,-1,-1,-1,676946,80960,474021,13837
1,Schleswig-Holstein,1382212,5573,476.006,-1,-1,-1,-1,939127,95962,678438,6271
16,Thüringen,945003,6894,442.961,-1,-1,-1,-1,656989,110860,487835,6540
0,Gesamt,38245152,240963,459.861,-1,-1,-1,-1,25553053,3068627,18187186,390552
