RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8172783,1155,736.261,-1,-1,-1,-1,5876076,636346,8131778,3333,6089141
9,Bayern,9679553,1352,737.505,-1,-1,-1,-1,7079615,760760,9697530,4739,7042526
11,Berlin,2830028,530,771.232,-1,-1,-1,-1,2021935,329314,2787462,1433,2080076
12,Brandenburg,1747629,324,692.983,-1,-1,-1,-1,1231207,152705,1722199,960,1231357
4,Bremen,610333,110,895.965,-1,-1,-1,-1,417697,45367,597223,273,421622
2,Hamburg,1510309,181,817.597,-1,-1,-1,-1,1081551,127578,1490651,550,1007600
6,Hessen,4804594,702,764.080,-1,-1,-1,-1,3426445,406080,4624141,2224,3354161
13,Mecklenburg-Vorpommern,1190649,173,740.390,-1,-1,-1,-1,880083,98777,1179860,543,862784
3,Niedersachsen,6241967,1171,780.870,-1,-1,-1,-1,4163648,514179,6116968,3402,4802088
5,Nordrhein-Westfalen,14340280,1577,799.025,-1,-1,-1,-1,10331614,903914,13964042,4199,10416668
7,Rheinland-Pfalz,3159090,289,771.657,-1,-1,-1,-1,2309116,241273,3034481,1111,2286617
10,Saarland,808017,80,818.753,-1,-1,-1,-1,609662,65606,799165,347,620624
14,Sachsen,2637583,401,647.741,-1,-1,-1,-1,1987103,241251,2578862,1249,1834756
15,Sachsen-Anhalt,1560668,147,711.081,-1,-1,-1,-1,1114690,146000,1570530,491,1109481
1,Schleswig-Holstein,2330250,277,802.490,-1,-1,-1,-1,1647026,190608,2312107,1048,1865922
16,Thüringen,1479027,103,697.576,-1,-1,-1,-1,1074030,140953,1466623,229,1038866
0,Gesamt,63304258,8573,761.173,-1,-1,-1,-1,45341314,5083993,62267767,26142,46202246
