RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7019903,8894,632.401,-1,-1,-1,-1,4924470,548159,6698580,11402
9,Bayern,8242500,6218,628.013,-1,-1,-1,-1,5861585,660698,7810865,9219
11,Berlin,2405697,2626,655.594,-1,-1,-1,-1,1685161,277586,2247525,4643
12,Brandenburg,1507283,1272,597.679,-1,-1,-1,-1,1035619,131689,1407688,1669
4,Bremen,517828,755,760.168,-1,-1,-1,-1,349770,33730,486427,637
2,Hamburg,1284669,1578,695.448,-1,-1,-1,-1,902934,118001,1200888,1857
6,Hessen,4124773,3322,655.967,-1,-1,-1,-1,2862281,340755,3807127,4993
13,Mecklenburg-Vorpommern,1027299,705,638.813,-1,-1,-1,-1,747962,81656,967206,1168
3,Niedersachsen,5489099,4001,686.686,-1,-1,-1,-1,3525936,469134,5063687,6536
5,Nordrhein-Westfalen,12603275,12325,702.241,-1,-1,-1,-1,8848074,785956,11502934,13857
7,Rheinland-Pfalz,2751327,2716,672.055,-1,-1,-1,-1,1965354,211361,2520378,3704
10,Saarland,710549,721,719.990,-1,-1,-1,-1,531545,57257,668020,1727
14,Sachsen,2263236,2476,555.808,-1,-1,-1,-1,1666076,202103,2132532,3876
15,Sachsen-Anhalt,1338306,903,609.767,-1,-1,-1,-1,938341,118252,1274460,1142
1,Schleswig-Holstein,2060605,687,709.630,-1,-1,-1,-1,1418052,167430,1905749,960
16,Thüringen,1248874,852,585.397,-1,-1,-1,-1,891999,124686,1198906,1922
0,Gesamt,54782636,50064,658.709,-1,-1,-1,-1,38235699,4410536,51070206,69369
