RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,539877,19775,48.636,302499,197982,16148,79512,452091,29834,275770,6748
9,Bayern,741284,22367,56.480,318776,338582,31949,119068,621926,24678,368531,8933
11,Berlin,190212,5126,51.836,129080,61407,150,42165,158664,6609,119947,2064
12,Brandenburg,108655,4314,43.085,45444,57349,3517,21837,86879,4173,75456,733
4,Bremen,37600,1410,55.197,17056,16588,523,8026,29902,1931,21305,335
2,Hamburg,102636,1953,55.561,43456,52236,1986,15685,81431,1805,53887,1038
6,Hessen,299290,9419,47.596,151488,117614,7341,50251,265941,9309,139672,2740
13,Mecklenburg-Vorpommern,81006,1460,50.373,24045,34080,1644,23441,73141,3269,49942,880
3,Niedersachsen,376731,12453,47.129,169794,151408,39184,92387,324352,11458,173123,3726
5,Nordrhein-Westfalen,895128,24025,49.876,290565,476845,17279,181218,752161,20057,416823,13045
7,Rheinland-Pfalz,218951,9744,53.482,82852,97534,2657,35908,180248,4536,140151,148
10,Saarland,53527,3018,54.238,30543,19486,39,9988,42287,1602,23300,523
14,Sachsen,218717,6384,53.713,78693,88195,7033,33980,198054,11084,97994,2412
15,Sachsen-Anhalt,101045,3661,46.039,37700,48805,4489,28719,81984,4272,53229,837
1,Schleswig-Holstein,148297,6068,51.070,63462,59523,9583,49789,124115,4526,90834,1629
16,Thüringen,121996,2163,57.184,60861,51758,6106,21797,100450,7757,59448,1508
0,Gesamt,4234952,133340,50.921,1846314,1869392,149628,813771,3573626,146900,2159412,47299
