Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:8
Baden-Württemberg,27454,3390,2,12584,8739,1469,4932,0
Bayern,66258,8425,5,15480,31755,1280,23823,0
Berlin,17758,935,5,10507,6132,105,11625,0
Brandenburg,3309,0,1,204,3085,20,224,(Meldung vom 03.01. steht noch aus)
Bremen,1903,66,3,824,506,9,289,0
Hamburg,4140,436,2,1616,2189,0,1953,0
Hessen,33405,3320,5,9387,19405,1185,12955,0
Mecklenburg-Vorpommern,11494,0,7,178,6583,8,4804,0
Niedersachsen,5394,432,1,992,2822,1035,3178,0
Nordrhein-Westfalen,53841,3539,3,0,21354,0,32495,0
Rheinland-Pfalz,7248,0,2,0,3516,0,3732,0
Saarland,4149,0,4,3122,495,0,1580,0
Sachsen,4866,523,1,487,3765,1,1100,0
Sachsen-Anhalt,13366,544,6,4391,6446,562,6702,0
Schleswig-Holstein,9557,624,3,2801,5317,2325,4512,0
Thüringen,810,0,0,232,297,0,413,0
Gesamt,264952,22234,3,62805,122406,7999,114317,0
