RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,198902,8953,17.918,101428,66574,6324,39324,195512,3390,43654,4829
9,Bayern,291334,12681,22.197,105283,149747,5956,81003,281910,9424,90355,4005
11,Berlin,84111,2913,22.922,60931,23144,108,32362,82034,2077,24710,2269
12,Brandenburg,67643,1001,26.822,26888,37858,849,13307,67643,0,4978,1921
4,Bremen,17595,523,25.829,3718,7443,135,6263,16337,1258,3203,450
2,Hamburg,40819,1615,22.097,15738,19620,1837,10673,40509,310,6273,939
6,Hessen,114788,5887,18.255,43502,54609,4778,34713,114788,0,35555,2978
13,Mecklenburg-Vorpommern,53619,1042,33.342,9545,23797,1130,19954,52117,1502,12718,2371
3,Niedersachsen,140982,3488,17.637,26946,77627,21942,60788,139077,1905,23668,7397
5,Nordrhein-Westfalen,312109,2954,17.390,0,160077,0,152060,312109,0,72095,9553
7,Rheinland-Pfalz,136803,849,33.416,51767,52923,84,30306,132998,3805,6174,931
10,Saarland,19527,692,19.786,13127,5144,1,5550,18929,598,6288,868
14,Sachsen,79507,2326,19.525,8318,56074,152,20992,79141,366,10518,1512
15,Sachsen-Anhalt,46795,1775,21.321,15600,23406,2021,17382,46220,575,15735,1005
1,Schleswig-Holstein,87351,286,30.082,25678,26565,5961,21184,87042,309,5610,1202
16,Thüringen,46351,2096,21.727,16265,23937,1886,6051,46351,0,4547,876
0,Gesamt,1738236,49081,20.901,524734,808545,53164,551912,1712717,25519,366081,43106
