RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,381277,9941,34.348,222745,127733,11569,69710,362209,17074,188592,7261
9,Bayern,524209,15098,39.941,211398,251628,14199,108416,492955,12957,280447,11489
11,Berlin,143537,2100,39.116,102946,38201,150,39522,132241,4558,86809,2776
12,Brandenburg,84329,1354,33.439,38133,42721,1507,19314,78353,4114,66800,3110
4,Bremen,27604,728,40.522,13207,11099,262,7575,24444,1806,16821,566
2,Hamburg,73278,1866,39.669,31107,35853,1907,14147,66139,1607,40337,1276
6,Hessen,213795,6342,34.000,105493,84064,5824,45295,203318,5921,99800,3408
13,Mecklenburg-Vorpommern,67411,1007,41.919,17025,30102,1533,20610,63154,2080,41195,2407
3,Niedersachsen,264126,13453,33.042,92432,121256,33691,86665,242385,6870,136360,2890
5,Nordrhein-Westfalen,669399,15868,37.298,167721,370624,14884,177069,605319,17298,309235,3041
7,Rheinland-Pfalz,168894,6247,41.255,61991,71087,104,35712,156272,4814,120092,2866
10,Saarland,38861,1218,39.377,23883,11559,0,9915,34736,1469,19152,840
14,Sachsen,144601,4684,35.511,41160,74368,4845,30730,136636,6333,71402,2195
15,Sachsen-Anhalt,76749,3709,34.969,27619,37768,3602,24083,68761,2648,43921,1377
1,Schleswig-Holstein,116028,2656,39.958,35311,36404,6672,35191,108863,1896,69070,2976
16,Thüringen,91016,2558,42.663,46849,37086,4550,17483,85026,3837,44753,1821
0,Gesamt,3085114,88829,37.096,1239020,1381553,105299,741437,2860811,95282,1634786,50299
