RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6000501,48312,540.566,-1,-1,-1,-1,4107267,506340,3961278,66071
9,Bayern,6804636,67601,518.459,-1,-1,-1,-1,4715925,540214,4778456,88054
11,Berlin,1997712,11526,544.411,-1,-1,-1,-1,1353473,218737,1279372,24654
12,Brandenburg,1313485,6649,520.833,-1,-1,-1,-1,887694,115696,838436,12685
4,Bremen,426109,3672,625.525,-1,-1,-1,-1,286800,23425,248791,3909
2,Hamburg,970210,12926,525.218,-1,-1,-1,-1,655662,86206,647475,6903
6,Hessen,3371547,26052,536.181,-1,-1,-1,-1,2282104,257651,2186939,39989
13,Mecklenburg-Vorpommern,880694,4845,547.648,-1,-1,-1,-1,631588,71443,615739,10839
3,Niedersachsen,4462210,48203,558.222,-1,-1,-1,-1,2763730,344247,2823230,37411
5,Nordrhein-Westfalen,10193481,86800,567.970,-1,-1,-1,-1,6793215,675043,7018903,130838
7,Rheinland-Pfalz,2266130,22114,553.538,-1,-1,-1,-1,1565203,182304,1435965,28280
10,Saarland,572147,5086,579.749,-1,-1,-1,-1,427360,39725,420642,5027
14,Sachsen,1960467,13111,481.454,-1,-1,-1,-1,1378970,174955,1442552,24448
15,Sachsen-Anhalt,1137522,7683,518.285,-1,-1,-1,-1,789043,102236,767424,13350
1,Schleswig-Holstein,1688016,10368,581.318,-1,-1,-1,-1,1140936,129447,1072238,19012
16,Thüringen,1098737,4704,515.022,-1,-1,-1,-1,778226,121647,722492,13572
0,Gesamt,45307672,380213,544.781,-1,-1,-1,-1,30621848,3666375,30352916,527065
