RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,3222145,86824,290.273,-1,-1,-1,-1,2189541,194884,883486,17793,-1
9,Bayern,3940111,109767,300.205,-1,-1,-1,-1,2809607,249192,1019063,22340,-1
11,Berlin,990501,25911,269.929,-1,-1,-1,-1,695075,60090,368172,6917,-1
12,Brandenburg,665537,13855,263.904,-1,-1,-1,-1,455481,47741,202323,10176,-1
4,Bremen,207755,5053,304.983,-1,-1,-1,-1,140539,11644,70515,2730,-1
2,Hamburg,548482,13283,296.918,-1,-1,-1,-1,371285,39355,137542,2699,-1
6,Hessen,1793604,57201,285.239,-1,-1,-1,-1,1176126,114416,500280,5336,-1
13,Mecklenburg-Vorpommern,507916,14086,315.841,-1,-1,-1,-1,369320,31916,118333,3634,-1
3,Niedersachsen,2402210,77033,300.516,-1,-1,-1,-1,1554360,172714,588826,11573,-1
5,Nordrhein-Westfalen,5565356,140339,310.096,-1,-1,-1,-1,3895227,258770,1414725,15391,-1
7,Rheinland-Pfalz,1178372,26940,287.836,-1,-1,-1,-1,837795,49011,386277,16391,-1
10,Saarland,326484,10737,330.822,-1,-1,-1,-1,256347,20247,88607,802,-1
14,Sachsen,1087074,24765,266.965,-1,-1,-1,-1,781101,63457,439673,12084,-1
15,Sachsen-Anhalt,650209,19165,296.252,-1,-1,-1,-1,458292,43819,174679,6564,-1
1,Schleswig-Holstein,805809,20902,277.504,-1,-1,-1,-1,589063,46760,275068,9460,-1
16,Thüringen,583871,14875,273.684,-1,-1,-1,-1,434498,35293,260114,6377,-1
0,Gesamt,24537128,662323,295.035,-1,-1,-1,-1,17014901,1482621,6931584,150967,-1
