RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4508505,57378,406.157,-1,-1,-1,-1,3067136,362489,1726824,81491
9,Bayern,5437006,50071,414.256,-1,-1,-1,-1,3826055,384249,2034112,111589
11,Berlin,1436130,25987,391.370,-1,-1,-1,-1,978347,133520,597486,22940
12,Brandenburg,916029,13118,363.231,-1,-1,-1,-1,621314,69069,405411,21467
4,Bremen,288743,3918,423.873,-1,-1,-1,-1,187437,16479,134082,5068
2,Hamburg,729957,11883,395.158,-1,-1,-1,-1,493789,71800,276054,9519
6,Hessen,2606904,34108,414.579,-1,-1,-1,-1,1737670,213643,879454,51077
13,Mecklenburg-Vorpommern,682345,8047,424.307,-1,-1,-1,-1,492924,54225,245202,17255
3,Niedersachsen,3333932,40320,417.075,-1,-1,-1,-1,2147825,213953,1120440,71712
5,Nordrhein-Westfalen,7887406,104124,439.478,-1,-1,-1,-1,5331281,568014,2677375,147623
7,Rheinland-Pfalz,1623712,25656,396.617,-1,-1,-1,-1,1118491,116719,697421,33913
10,Saarland,444423,4779,450.328,-1,-1,-1,-1,339476,31910,180021,9937
14,Sachsen,1463218,20492,359.339,-1,-1,-1,-1,1004257,149075,793047,32372
15,Sachsen-Anhalt,857179,13009,390.553,-1,-1,-1,-1,610382,65901,335606,22991
1,Schleswig-Holstein,1168471,26097,402.398,-1,-1,-1,-1,815633,76806,530913,23782
16,Thüringen,826892,14202,387.598,-1,-1,-1,-1,584330,88166,387118,12769
0,Gesamt,34305216,456833,412.487,-1,-1,-1,-1,23365661,2682765,13053626,678826
