RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8211936,442,739.788,-1,-1,-1,-1,5904229,640596,8231003,1013,6322963
9,Bayern,9726320,730,741.068,-1,-1,-1,-1,7117062,763452,9821002,1539,7366283
11,Berlin,2845286,192,775.390,-1,-1,-1,-1,2033578,330081,2821836,364,2178788
12,Brandenburg,1757036,174,696.713,-1,-1,-1,-1,1238476,153413,1746610,355,1308752
4,Bremen,614343,71,901.851,-1,-1,-1,-1,420654,45775,606285,174,439212
2,Hamburg,1539612,92,833.460,-1,-1,-1,-1,1106271,129872,1537445,172,1107644
6,Hessen,4830894,583,768.262,-1,-1,-1,-1,3447704,407442,4693046,924,3548348
13,Mecklenburg-Vorpommern,1197424,71,744.603,-1,-1,-1,-1,884673,99343,1197892,234,912622
3,Niedersachsen,6279955,350,785.622,-1,-1,-1,-1,4192657,516658,6212779,1124,5064514
5,Nordrhein-Westfalen,14418377,1736,803.377,-1,-1,-1,-1,10393568,909358,14143098,2458,10982519
7,Rheinland-Pfalz,3179274,110,776.588,-1,-1,-1,-1,2322096,242444,3079966,360,2408851
10,Saarland,811424,49,822.206,-1,-1,-1,-1,612054,65811,809244,103,648132
14,Sachsen,2652389,227,651.377,-1,-1,-1,-1,1998099,241993,2616146,470,1943625
15,Sachsen-Anhalt,1569514,138,715.112,-1,-1,-1,-1,1121529,146658,1595495,378,1180172
1,Schleswig-Holstein,2342404,113,806.676,-1,-1,-1,-1,1656515,191344,2349153,286,2089845
16,Thüringen,1488492,85,702.040,-1,-1,-1,-1,1080777,141231,1489131,262,1093817
0,Gesamt,63666685,5163,765.531,-1,-1,-1,-1,45620182,5108804,63145084,10218,48738070
