RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,3084030,37548,277.831,-1,-1,-1,-1,2086452,178184,853828,9668
9,Bayern,3786154,23181,288.475,-1,-1,-1,-1,2708499,230965,981510,10601
11,Berlin,952267,7747,259.509,-1,-1,-1,-1,666998,57938,355907,4391
12,Brandenburg,644240,168,255.459,-1,-1,-1,-1,440658,47497,187103,675
4,Bremen,200593,1638,294.469,-1,-1,-1,-1,136794,10609,65137,980
2,Hamburg,527133,6328,285.360,-1,-1,-1,-1,352333,38583,131976,2277
6,Hessen,1704620,23353,271.088,-1,-1,-1,-1,1114028,100346,492246,2157
13,Mecklenburg-Vorpommern,485297,382,301.776,-1,-1,-1,-1,352937,29827,112194,17
3,Niedersachsen,2282000,6820,285.478,-1,-1,-1,-1,1480385,162291,568357,4873
5,Nordrhein-Westfalen,5313732,48568,296.075,-1,-1,-1,-1,3711539,228943,1373365,11867
7,Rheinland-Pfalz,1134694,5582,277.167,-1,-1,-1,-1,805815,44050,354003,3526
10,Saarland,309836,1246,313.953,-1,-1,-1,-1,244681,18262,87188,1
14,Sachsen,1047705,11215,257.297,-1,-1,-1,-1,752372,60373,419504,5633
15,Sachsen-Anhalt,622836,1669,283.780,-1,-1,-1,-1,438971,39791,165608,1336
1,Schleswig-Holstein,777485,4222,267.750,-1,-1,-1,-1,568622,44183,257764,5005
16,Thüringen,561630,5019,263.259,-1,-1,-1,-1,417620,33832,247323,2421
0,Gesamt,23492053,184686,282.469,-1,-1,-1,-1,16279948,1365449,6655866,65428
