RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7328255,6813,660.180,-1,-1,-1,-1,5181661,552583,6665214,12270
9,Bayern,8620326,10327,656.800,-1,-1,-1,-1,6173443,672197,7877186,14742
11,Berlin,2506923,2819,683.180,-1,-1,-1,-1,1762323,290849,2296136,3613
12,Brandenburg,1576239,1466,625.022,-1,-1,-1,-1,1092171,132003,1406742,1918
4,Bremen,545824,667,801.266,-1,-1,-1,-1,370291,35187,479579,813
2,Hamburg,1351746,1292,731.760,-1,-1,-1,-1,955874,118656,1211920,1580
6,Hessen,4313432,2824,685.970,-1,-1,-1,-1,3020024,345267,3850307,4893
13,Mecklenburg-Vorpommern,1069555,1408,665.089,-1,-1,-1,-1,781860,82632,971496,2339
3,Niedersachsen,5712142,5595,714.589,-1,-1,-1,-1,3702409,471015,5006959,10126
5,Nordrhein-Westfalen,13136562,8112,731.955,-1,-1,-1,-1,9305138,792957,11639333,16338
7,Rheinland-Pfalz,2886340,1736,705.034,-1,-1,-1,-1,2079069,214110,2536654,3143
10,Saarland,738966,743,748.785,-1,-1,-1,-1,554884,57357,667735,1174
14,Sachsen,2370615,3070,582.179,-1,-1,-1,-1,1757469,210163,2173204,5963
15,Sachsen-Anhalt,1397649,1675,636.805,-1,-1,-1,-1,986746,119224,1253757,2638
1,Schleswig-Holstein,2133781,1459,734.831,-1,-1,-1,-1,1479289,168598,1922393,2445
16,Thüringen,1301178,1429,609.914,-1,-1,-1,-1,932093,126491,1191723,2151
0,Gesamt,57182706,51494,687.567,-1,-1,-1,-1,40217197,4471957,51327197,86222
